atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,DS,FC,FS,SG,FD,FF,I,FT,G,V,A,DE,GS,CA,PP,PS,CV,DP,GC,PC,clube_nome
74072,Marquinhos,3,2318,5.0,True,,,,1.0,,,,,,,,,,,,,,,,,Brasil
74161,Mauricio Pochettino,6,2365,4.15,True,,,,,,,,,,,,,,,,,,,,,Estados Unidos
77629,Ricardo Rodríguez,2,2320,1.1,True,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,Suíça
77844,Kovacic,4,2379,6.5,True,1.0,,,,,,,,,,1.0,,,,,,,,,,Croácia
77904,Courtois,1,2392,0.3,True,,,,,,,,,,,,1.0,1.0,,,,,,,,Bélgica
78297,Al-Haydos,4,3238,9.7,True,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,Catar
79191,Gustavo Alfaro,6,2354,8.49,True,,,,,,,,,,,,,,,,,,,,,Paraguai
79259,Paredes,4,2357,0.0,True,,,,,,,,,,,,,,,,,,,,,Argentina
79544,Xhaka,4,2320,0.8,True,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,Suíça
79826,Douglas Santos,2,2318,8.8,True,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,Brasil
80401,Fabinho,4,2318,-1.3,True,,1.0,,,,,,,,,,,,1.0,,,,,,,Brasil
80507,Perisic,5,2379,2.9,True,2.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,Croácia
80617,Salah,5,2324,0.7,True,,1.0,2.0,,,,,,,,,,,,,,,,,,Egito
80647,Payne,2,2340,2.0,True,1.0,,1.0,,,,,,,,,,,,,,,,,,Nova Zelândia
80695,Hong Myung-Bo,6,2374,2.43,True,,,,,,,,,,,,,,,,,,,,,Coreia do Sul
80951,Bono,1,2332,-3.7,True,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,Marrocos
80953,Partey,4,2375,5.2,True,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,Gana
81141,Vladimir Petkovic,6,2338,5.05,True,,,,,,,,,,,,,,,,,,,,,Argélia
81462,Jalal Hassan,1,2342,3.8,True,,,,,,,,,,,,6.0,4.0,,,,,,,,Iraque
81779,Irvine,4,2333,4.2,True,2.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,Austrália
81786,Quintero,4,2373,0.0,True,,,,,,,,,,,,,,,,,,,,,Colômbia
81829,Quintero,4,3062,0.0,True,,,,,,,,,,,,,,,,,,,,,Panamá
81947,Laporte,3,2326,5.2,True,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Espanha
81958,João Cancelo,2,2390,6.5,True,1.0,,,1.0,,,,,,,,,,,,,,,,,Portugal
82002,Kim Seung-Gyu,1,2374,2.9,True,,,,,,,,,,,,3.0,1.0,,,,,,,,Coreia do Sul
82033,Rabia,3,2324,0.0,True,,,,,,,,,,,,,,,,,,,,,Egito
82039,Trézéguet,4,2324,3.9,True,,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,Egito
82042,Hajime Moriyasu,6,2369,4.7,True,,,,,,,,,,,,,,,,,,,,,Japão
82060,Son Heung-Min,5,2374,0.5,True,,,1.0,,,,,,,,,,,,,,,,,,Coreia do Sul
82062,Pickford,1,2370,7.6,True,,,,1.0,,,,,,,,2.0,,,,,,,,,Inglaterra
82232,Harry Kane,5,2370,9.0,True,,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,Inglaterra
82257,Roberto Martínez,6,2390,6.62,True,,,,,,,,,,,,,,,,,,,,,Portugal
82275,Steve Clarke,6,2327,1.75,True,,,,,,,,,,,,,,,,,,,,,Escócia
82295,Aké,2,2381,2.7,True,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,Holanda
82896,Alisson,1,2318,10.2,True,,,,1.0,,,,,,,,4.0,,,,,,,,,Brasil
83119,Kolasinac,2,2865,3.5,True,2.0,,1.0,,,,,,,,,,,,,,,,,,Bósnia
84061,Murat Yakin,6,2320,5.61,True,,,,,,,,,,1.0,,,,,,,,,,,Suíça
84774,Rüdiger,3,2384,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,Alemanha
84783,Khedira,4,2337,-0.6,True,,2.0,,,,,,,,,,,,,,,,,,,Tunísia
84808,Rudi Garcia,6,2392,9.64,True,,,,,,,,,,1.0,,,,,,,,,,,Bélgica
84816,Varela,2,2356,-0.5,True,,,1.0,,,,,,,,,,,1.0,,,,,,,Uruguai
84990,Maignan,1,2385,8.6,True,,,,,,,,,,,,2.0,1.0,,,,,1.0,,,França
85044,Locadia,5,3221,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,Curaçao
85048,Memphis,5,2381,0.0,True,,,,,,,,,,,,,,,,,,,,,Holanda
85050,Brenet,2,3221,1.9,True,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,Curaçao
85084,De Bruyne,4,2392,13.9,True,1.0,,,,1.0,4.0,,,1.0,,,,,,,,,,,,Bélgica
85181,Van Dijk,3,2381,7.9,True,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,Holanda
85684,Córdoba,5,2373,2.4,True,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Colômbia
85788,Ayhan,4,2328,9.5,True,1.0,,,,,,,,1.0,,,,,,,,,,,,Turquia
85914,Hossam Hassan,6,2324,3.45,True,,,,,,,,,,,,,,,,,,,,,Egito
86008,Placide,1,2334,6.7,True,,,,,,,,,,,,9.0,4.0,1.0,,,,,,,Haiti
86013,Mandi,3,2338,0.5,True,,,1.0,,,,,,,,,,,,,,,,,,Argélia
86213,Tah,3,2384,1.2,True,1.0,1.0,,,,,,,,,,,,,,,,,,,Alemanha
86256,Gana Gueye,4,2347,5.5,True,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,Senegal
86260,Ryan Mendes,5,3201,2.7,True,2.0,1.0,,,,,,,,,,,,,,,,,,,Cabo Verde
86847,Widmer,2,2320,0.0,True,,,,,,,,,,,,,,,,,,,,,Suíça
86849,Bruno Fernandes,4,2390,3.0,True,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,Portugal
87094,Bentaleb,4,2338,0.0,True,,,,,,,,,,,,,,,,,,,,,Argélia
87416,Masuaku,2,3184,2.5,True,1.0,,2.0,,,,,,,,,,,,,,,,,,RD Congo
87588,Williams,1,2358,7.6,True,,,,1.0,,,,,,,,2.0,,,,,,,,,África do Sul
87722,Garry Rodrigues,5,3201,-0.2,True,,,,,,,2.0,,,,,,,,,,,,,,Cabo Verde
88045,Leandro Bacuna,4,3221,2.8,True,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,Curaçao
88108,Thomas Tuchel,6,2370,10.37,True,,,,,,,,,,1.0,,,,,,,,,,,Inglaterra
88312,Junior Alonso,3,2354,4.7,True,,1.0,,1.0,,,,,,,,,,,,,,,,,Paraguai
88472,Bakambu,5,3184,-0.2,True,,,,,,,2.0,,,,,,,,,,,,,,RD Congo
88473,Hervé Renard,6,2337,4.07,True,,,,,,,,,,,,,,,,,,,,,Tunísia
88559,Steven Moreira,2,3201,5.0,True,,,,1.0,,,,,,,,,,,,,,,,,Cabo Verde
88676,Mario Pasalic,4,2379,1.2,True,,,,,1.0,,,,,,,,,,,,,,,,Croácia
88745,Mahrez,5,2338,19.7,True,2.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,Argélia
88775,Jahanbakhsh,4,2336,0.0,True,,,,,,,,,,,,,,,,,,,,,Irã
88878,Velázquez,2,2354,5.0,True,,,,1.0,,,,,,,,,,,,,,,,,Paraguai
89016,Ronald Koeman,6,2381,6.63,True,,,,,,,,,,1.0,,,,,,,,,,,Holanda
89019,Dibu Martínez,1,2357,-1.0,True,,,,,,,,,,,,,1.0,,,,,,,,Argentina
89086,Julen Lopetegui,6,3238,2.66,True,,,,,,,,,,,,,,,,,,,,,Catar
89091,Rúben Neves,4,2390,1.6,True,,,,,,2.0,,,,,,,,,,,,,,,Portugal
89161,Sané,4,2384,9.1,True,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,Alemanha
89189,Mané,5,2347,6.8,True,,,2.0,,1.0,2.0,,1.0,,,,,,,,,,,,,Senegal
89195,Robertson,2,2327,0.0,True,,,,,,,,,,,,,,,,,,,,,Escócia
89282,Embolo,5,2320,10.0,True,1.0,3.0,4.0,,2.0,,,,,,1.0,,,,,,,,,,Suíça
89296,Georgios Donis,6,2344,7.61,True,,,,,,,,,,,,,,,,,,,,,Arábia Saudita
89766,Sabitzer,4,2391,7.7,True,,1.0,,,,,,,1.0,,,,,,,,,,,,Áustria
89825,Davinson Sánchez,3,2373,5.7,True,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,Colômbia
89843,Cubas,4,2354,10.0,True,6.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,Paraguai
90043,Skhiri,4,2337,-2.5,True,,,1.0,,,,,,,,,,,,,,,,1.0,,Tunísia
90196,Llorente,2,2326,14.2,True,3.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,Espanha
90375,Diaw,1,2347,6.3,True,,,,1.0,,,,,,,,1.0,,,,,,,,,Senegal
91458,Behich,2,2333,9.0,True,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,Austrália
91635,Bongonda,5,3184,2.3,True,1.0,,,,,1.0,,,,,,,,,,,,,,,RD Congo
91886,Bentancur,4,2356,8.4,True,5.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,Uruguai
92088,Crépeau,1,2361,0.6,True,,,,,,,,,,,,2.0,2.0,,,,,,,,Canadá
92112,Escobar,3,3062,4.2,True,3.0,1.0,,,,,,,,,,,,,,,,,,,Panamá
92118,Bárcenas,4,3062,0.2,True,,1.0,1.0,,,,,,,,,,,,,,,,,,Panamá
92185,Murillo,2,3062,2.2,True,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,Panamá
92235,Kimmich,2,2384,3.0,True,1.0,,3.0,,,,,,,,,,,,,,,,,,Alemanha
92289,Gregoritsch,5,2391,4.7,True,,1.0,,,,,,,,,1.0,,,,,,,,,,Áustria
92347,Mechele,3,2392,-0.6,True,,2.0,,,,,,,,,,,,,,,,,,,Bélgica
92351,Vanaken,4,2392,1.8,True,,,2.0,,,1.0,,,,,,,,,,,,,,,Bélgica
92399,Bensebaini,3,2338,0.0,True,,,,,,,,,,,,,,,,,,,,,Argélia
92446,Mbemba,3,3184,1.3,True,,,1.0,,,1.0,,,,,,,,,,,,,,,RD Congo
92510,Fabián Ruiz,4,2326,0.5,True,,,1.0,,,,,,,,,,,,,,,,,,Espanha
92707,Lerma,4,2373,1.2,True,,,,,1.0,,,,,,,,,,,,,,,,Colômbia
92755,Canale,3,2354,5.0,True,,,,1.0,,,,,,,,,,,,,,,,,Paraguai
92805,Elvedi,3,2320,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,Suíça
93006,Lienhart,3,2391,0.8,True,,,,,,1.0,,,,,,,,,,,,,,,Áustria
93249,Larin,5,2361,-0.1,True,,,,,1.0,,3.0,,,,,,,1.0,,,,,,,Canadá
93279,Rashford,5,2370,4.7,True,1.0,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,Inglaterra
93289,Lindelöf,3,2368,3.0,True,2.0,,,,,,,,,,,,,,,,,,,,Suécia
93327,Arcus,2,2334,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,Haiti
93334,Oyarzabal,5,2326,2.3,True,1.0,,,,,1.0,,,,,,,,,,,,,,,Espanha
93408,Seri,4,2350,0.0,True,,,,,,,,,,,,,,,,,,,,,Costa do Marfim
93954,Watkins,5,2370,0.0,True,,,,,,,,,,,,,,,,,,,,,Inglaterra
94073,Mathías Olivera,2,2356,6.6,True,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,Uruguai
94103,Gabriel Magalhães,3,2318,9.5,True,3.0,,,1.0,,,,,,,,,,,,,,,,,Brasil
94849,Lo Celso,4,2357,8.1,True,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,Argentina
94868,Estupiñán,2,2372,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,Equador
94877,Laryea,2,2361,3.4,True,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,Canadá
94917,Palacios,4,2357,1.7,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Argentina
94919,Pulisic,4,2365,6.4,True,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Estados Unidos
94930,Lucas Paquetá,4,2318,3.3,True,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,Brasil
94965,Rúben Dias,3,2390,5.9,True,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,Portugal
95063,Mbappé,5,2385,16.5,True,1.0,,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,,França
95282,Lautaro Martínez,5,2357,16.6,True,2.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,Argentina
95456,Rodri,4,2326,3.6,True,3.0,3.0,,,,,,,,,,,,,,,,,,,Espanha
95520,Gallardo,2,2360,5.0,True,,,,1.0,,,,,,,,,,,,,,,,,México
95534,Dembélé,5,2385,23.9,True,,,,,,,1.0,,3.0,,,,,,,,,,,,França
95573,Gross,4,2384,3.5,True,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,Alemanha
95690,Söyüncü,3,2328,0.0,True,,,,,,,,,,,,,,,,,,,,,Turquia
95720,Nazon,5,2334,0.7,True,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,Haiti
95723,Davis,2,3062,2.8,True,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,Panamá
95728,Ismael Díaz,5,3062,4.5,True,1.0,,,,,4.0,2.0,,,,,,,,,,,,,,Panamá
95777,Schick,5,2352,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,República Tcheca
95887,Deiver Machado,2,2373,5.7,True,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,Colômbia
95893,Montes,3,2360,6.7,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,México
95972,Modiba,2,2358,5.9,True,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,África do Sul
95995,Sema,5,2368,2.0,True,1.0,,1.0,,,,,,,,,,,,,,,,,,Suécia
96026,Hwang Hee-Chan,5,2374,2.0,True,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,Coreia do Sul
96330,Ogawa,5,2369,0.5,True,,1.0,,,,1.0,,,,,,,,,,,,,,,Japão
96343,Tuanzebe,3,3184,2.5,True,1.0,,2.0,,,,,,,,,,,,,,,,,,RD Congo
96364,Gunn,1,2327,3.5,True,,,,,,,,,,,,5.0,3.0,,,,,,,,Escócia
96538,Theo Hernández,2,2385,3.3,True,1.0,1.0,3.0,,,2.0,,,,,,,,,,,,,,1.0,França
96566,Tierney,2,2327,0.2,True,,1.0,1.0,,,,,,,,,,,,,,,,,,Escócia
96569,Christie,4,2327,-0.8,True,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,Escócia
96575,Sow,4,2320,1.2,True,1.0,1.0,,,,,,,,,,,,,,,,,,,Suíça
96585,Ezatolahi,4,2336,8.4,True,3.0,3.0,4.0,,,1.0,,1.0,,,,,,1.0,,,,,,,Irã
96670,Sangaré,4,2350,11.7,True,4.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,Costa do Marfim
96681,Tagliafico,2,2357,0.7,True,,1.0,2.0,,,,,,,,,,,,,,,,,,Argentina
96797,Afif,5,3238,3.4,True,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,Catar
96809,Livakovic,1,2379,-0.5,True,,,1.0,,,,,,,,,,1.0,,,,,,,,Croácia
96822,Dani Olmo,4,2326,1.5,True,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,Espanha
96829,Ralston,2,2327,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,Escócia
96833,Mateta,5,2385,0.0,True,,,,,,,,,,,,,,,,,,,,,França
96838,Merino,4,2326,4.4,True,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,Espanha
96865,Özcan,4,2328,7.4,True,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,Turquia
97054,Akanji,3,2320,3.0,True,2.0,,,,,,,,,,,,,,,,,,,,Suíça
97089,Alderete,3,2354,7.0,True,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,Paraguai
97127,Freuler,4,2320,1.4,True,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,Suíça
97128,Kessié,4,2350,1.3,True,,1.0,,,,2.0,,,,,,,,,,,,,,,Costa do Marfim
97147,Senesi,3,2357,3.8,True,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,Argentina
97185,Budimir,5,2379,-0.9,True,,3.0,,,,,,,,,,,,,,,,,,,Croácia
97214,Julian Nagelsmann,6,2384,3.93,True,,,,,,,,,,,,,,,,,,,,,Alemanha
97246,Tielemans,4,2392,2.0,True,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,Bélgica
97270,McGinn,4,2327,2.0,True,,,4.0,,,,,,,,,,,,,,,,,,Escócia
97348,Havertz,5,2384,2.7,True,1.0,,,,1.0,,,,,,,,,,,,,,,,Alemanha
97395,Edson Álvarez,4,2360,1.3,True,2.0,4.0,1.0,,,,,,,,,,,1.0,,,,,,,México
97642,Félix Torres,3,2372,0.0,True,,,,,,,,,,,,,,,,,,,,,Equador
97656,Unai Simón,1,2326,8.9,True,,,,1.0,,,,,,,,3.0,,,,,,,,,Espanha
97698,Isak,5,2368,4.1,True,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,Suécia
98019,Hakimi,2,2332,17.6,True,1.0,1.0,2.0,,2.0,,,,1.0,,1.0,,,,,,,,,,Marrocos
98141,Wan-Bissaka,2,3184,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,RD Congo
98147,Grillitsch,4,2391,-0.6,True,,2.0,,,,,,,,,,,,,,,,,,,Áustria
98352,Bruno Guimarães,4,2318,12.2,True,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,Brasil
99014,Aouar,4,2338,14.2,True,3.0,1.0,,,,,,,,,2.0,,,,,,,,,,Argélia
99134,Danso,3,2391,0.8,True,,,,,,1.0,,,,,,,,,,,,,,,Áustria
99144,Kobel,1,2320,7.3,True,,,1.0,,,,,,,,,6.0,1.0,,,,,,,,Suíça
99228,De la Cruz,4,2356,3.1,True,2.0,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,Uruguai
99277,Sebastián Beccacece,6,2372,6.59,True,,,,,,,,,,1.0,,,,,,,,,,,Equador
99282,Jordy Caicedo,5,2372,0.0,True,,,,,,,,,,,,,,,,,,,,,Equador
99325,Delcroix,3,2334,1.2,True,1.0,1.0,,,,,,,,,,,,,,,,,,,Haiti
99331,Pépé,5,2350,16.1,True,1.0,1.0,,,,,1.0,,2.0,,,,,1.0,,,,,,,Costa do Marfim
99405,Ismaïla Sarr,5,2347,15.9,True,,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,Senegal
99481,McTominay,4,2327,5.6,True,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,Escócia
99514,Kluivert,4,2381,1.0,True,,,2.0,,,,,,,,,,,,,,,,,,Holanda
99515,De Jong,4,2381,4.7,True,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,Holanda
99535,Vini Jr.,5,2318,22.3,True,,1.0,3.0,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,Brasil
99684,Hrustic,4,2333,3.0,True,2.0,,,,,,,,,,,,,,,,,,,,Austrália
99705,Hugo Broos,6,2358,7.81,True,,,,,,,,,,1.0,,,,,,,,,,,África do Sul
99712,Boxall,3,2340,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,Nova Zelândia
99715,Ryan Thomas,4,2340,4.7,True,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,Nova Zelândia
99748,Galíndez,1,2372,1.6,True,,,,,,,,,,,,2.0,1.0,,,,,,,,Equador
99815,Jhon Arias,4,2373,7.7,True,3.0,3.0,1.0,,3.0,,,,,,,,,,,,,,,,Colômbia
99851,Pedro Neto,5,2390,-0.1,True,,2.0,1.0,,,,,,,,,,,,,,,,,,Portugal
99857,Valverde,4,2356,3.0,True,2.0,,,,,,,,,,,,,,,,,,,,Uruguai
99997,Posch,2,2391,5.0,True,3.0,,1.0,,,,,,,,,,,,,,,,,,Áustria
100008,Kahveci,4,2328,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,Turquia
100038,Niakhaté,3,2347,4.6,True,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,Senegal
100098,Demirovic,5,2865,0.5,True,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,Bósnia
100124,Soucek,4,2352,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,República Tcheca
100190,Luis Díaz,5,2373,1.5,True,,,,,,2.0,1.0,,,,,,,,,,,,,,Colômbia
100223,Amrabat,4,2332,4.7,True,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,Marrocos
100316,McKennie,4,2365,5.5,True,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,Estados Unidos
100318,Vlasic,4,2379,11.9,True,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,Croácia
100320,Gouiri,5,2338,0.0,True,,,,,,,,,,,,,,,,,,,,,Argélia
100414,Souttar,3,2333,6.5,True,1.0,,,1.0,,,,,,,,,,,,,,,,,Austrália
100539,Zlatko Dalic,6,2379,5.45,True,,,,,,,,,,1.0,,,,,,,,,,,Croácia
100627,Upamecano,3,2385,1.2,True,1.0,1.0,,,,,,,,,,,,,,,,,,,França
100628,Konaté,3,2385,0.0,True,,,,,,,,,,,,,,,,,,,,,França
100629,Laimer,2,2391,9.1,True,2.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,Áustria
100689,Crocombe,1,2340,1.5,True,,,,,,,,,,,,5.0,5.0,,,,,,,,Nova Zelândia
100692,Al-Owais,1,2344,8.9,True,,,,1.0,,,,,,,,3.0,,,,,,,,,Arábia Saudita
100730,Joris Kayembe,2,3184,0.0,True,,,,,,,,,,,,,,,,,,,,,RD Congo
100731,Moutoussamy,4,3184,1.7,True,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,RD Congo
100739,Itten,5,2320,-0.3,True,,1.0,,,,,,,,,,,,,,,,,,,Suíça
100745,Brahim Díaz,4,2332,4.8,True,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,Marrocos
100815,Nuno da Costa,5,3201,1.3,True,,,1.0,,,1.0,,,,,,,,,,,,,,,Cabo Verde
100836,McCowatt,4,2340,-0.6,True,,2.0,,,,,,,,,,,,,,,,,,,Nova Zelândia
100930,Burnic,4,2865,0.0,True,,,,,,,,,,,,,,,,,,,,,Bósnia
101096,Room,1,3221,-0.7,True,,,,,,,,,,,,1.0,2.0,,,,,,,,Curaçao
101098,Luckassen,3,2375,8.5,True,,,1.0,,,,,,1.0,,,,,,,,,,,,Gana
101124,O'Neill,4,2333,7.3,True,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,Austrália
101382,Gakpo,5,2381,-0.1,True,,,,,,,1.0,,,,,,,,,,,,,,Holanda
101384,Obispo,3,3221,2.7,True,2.0,1.0,,,,,,,,,,,,,,,,,,,Curaçao
101385,Malen,5,2381,1.8,True,,,2.0,,,1.0,,,,,,,,,,,,,,,Holanda
101843,Ferran Torres,5,2326,3.5,True,,,1.0,,,,,1.0,,,,,,,,,,,,,Espanha
101851,Gabriel Martinelli,5,2318,-0.6,True,,2.0,,,,,,,,,,,,,,,,,,,Brasil
101932,Graham Potter,6,2368,4.22,True,,,,,,,,,,,,,,,,,,,,,Suécia
101937,Ghoddos,4,2336,2.4,True,2.0,2.0,,,,,,,,,,,,,,,,,,,Irã
102288,Weah,5,2365,-0.2,True,,,,,,,2.0,,,,,,,,,,,,,,Estados Unidos
102303,Dalot,2,2390,9.3,True,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,Portugal
