atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
James Rodríguez,J. Rodríguez,69063,Colômbia,2373,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_DSyDils.png,1,3.3,James David Rodríguez Rubio,0.0,4,9.33,4,james-rodriguez,6,0.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,
Otamendi,Otamendi,69219,Argentina,2357,0.8287257836,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_j9VQN8N.png,3,4.27,Nicolás Hernán Gonzalo Otamendi,0.0,3,8.16,4,otamendi,6,0.0,,,,,,2.0,3.0,,1.0,,,,,,1.0,,,,2.0,
Muslera,Muslera,69241,Uruguai,2356,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_qDbtYaf.png,3,0.4,Néstor Fernando Muslera Micol,0.0,1,4.36,4,muslera,6,0.0,,,,4.0,,,,,,,,,,4.0,,,,,,
Neuer,Neuer,69293,Alemanha,2384,0.9,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/11/photo_FORMATO_IX0HLQx.png,4,0.95,Manuel Peter Neuer,3.4,1,8.17,4,neuer,6,-0.06,,,,6.0,,,,,,2.0,,,,5.0,,,,,,
Arnautovic,Arnautovic,69384,Áustria,2391,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_cTVuNjU.png,4,4.2,Marko Arnautović,-0.8,5,7.74,4,arnautovic,6,-1.33,,1.0,,,,1.0,3.0,1.0,,1.0,,2.0,,,5.0,,,,,
Ochoa,Ochoa,69513,México,2360,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_jYEu8oU.png,1,5.0,Francisco Guillermo Ochoa Magaña,0.0,1,7.47,4,ochoa,6,0.0,,,,,,,,,,,,,,,,,,,1.0,
Carlos Queiroz,C. Queiroz,69726,Gana,2375,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_dQGOdJE.png,2,4.72,Carlos Manuel Brito Leal de Queiroz,0.0,6,5.99,4,carlos-queiroz,6,0.0,,,,,,,,,,,,,,,,,,,,
Danilo,Danilo,69783,Brasil,2318,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_7PL2pdU.png,4,2.78,Danilo Luiz da Silva,0.7,2,4.98,4,danilo,7,-0.61,,2.0,,,,3.0,6.0,,,1.0,,,,,1.0,,,,2.0,
Nagatomo,Nagatomo,69945,Japão,2369,0.7,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_YZ3AAPN.png,1,1.5,Yuto Nagatomo,0.0,2,4.61,4,nagatomo,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
Smith,Smith,69971,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_eiI1Qx8.png,0,0.0,Thomas Jefferson Smith - Tommy,0.0,3,3.0,4,smith,6,0.0,,,,,,,,,,,,,,,,,,,,
Wood,Wood,69973,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/17/photo_FORMATO_kF3RNZf.png,3,5.0,Christopher Grant Wood,0.0,5,6.77,4,wood,6,0.0,2.0,,,,,1.0,2.0,2.0,2.0,1.0,,,,,4.0,,,,,
Lucas Mendes,L. Mendes,70052,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/01/photo_FORMATO_HuEI3JO.png,0,0.0,Lucas Michel Mendes,0.0,3,4.0,4,lucas-mendes,6,0.0,,,,,,,,,,,,,,,,,,,,
Casemiro,Casemiro,70119,Brasil,2318,0.8290414182,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_2WmWgzz.png,4,6.17,Carlos Henrique José Francisco Venancio Casimiro,12.4,4,12.25,4,casemiro,2,1.7,,2.0,,,,11.0,5.0,1.0,,5.0,,1.0,,,,,,,,
Hajsafi,Hajsafi,70594,Irã,2336,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_PuP6PnI.png,2,2.7,Ehsan Haji Safi - Hajisafi,0.0,2,3.43,4,hajsafi,6,0.0,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,1.0,
Vargas,Vargas,70734,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_H9WrNFE.png,1,7.6,Camilo Andrés Vargas Gil,0.0,1,8.38,4,vargas,6,0.0,,,,2.0,,,,,,,,,,,,,,,1.0,
Enner Valencia,E. Valencia,70788,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_clFjOtI.png,4,3.37,Enner Remberto Valencia Lastra,-0.7,5,5.69,4,enner-valencia,7,-0.87,,,,,,1.0,5.0,6.0,,7.0,1.0,,,,2.0,,,,,
Kakuta,Kakuta,70891,RD Congo,3184,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_mUhyXRy.png,0,0.0,Gaël Roméo Kakuta Mambenga,0.0,4,3.0,4,kakuta,6,0.0,,,,,,,,,,,,,,,,,,,,
Carlo Ancelotti,C. Ancelotti,70892,Brasil,2318,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/08/photo_FORMATO_e7MFtKO.png,4,8.14,Carlo Ancelotti,7.35,6,11.36,4,carlo-ancelotti,7,0.07,,,,,,,,,,,,,,,,,,,,3.0
Staale Solbakken,S. Solbakken,70911,Noruega,2323,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_nrdbjh6.png,4,5.53,Ståle Solbakken - Stale,6.25,6,6.65,4,staale-solbakken,7,0.82,,,,,,,,,,,,,,,,,,,,3.0
Jordan Henderson,J. Henderson,70972,Inglaterra,2370,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_EanWegg.png,1,1.5,Jordan Brian Henderson,0.0,4,7.06,4,jordan-henderson,2,0.0,,,,,,1.0,,,,,,,,,,,,,,
Alaba,Alaba,71178,Áustria,2391,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_FmXI5Gk.png,4,1.3,David Olatukunbo Alaba,0.2,3,5.43,4,alaba,6,-0.97,1.0,,,,,,2.0,,1.0,,,,,,,,,,,
Dzeko,Dzeko,71184,Bósnia,2865,0.8456479949,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/08/photo_FORMATO_FktPMGS.png,2,1.5,Edin Džeko,0.0,5,9.56,4,dzeko,6,-1.3,,,,,,,,,,,1.0,,,,,,,,,
Ayew,Ayew,71484,Gana,2375,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_VtEJOMB.png,2,1.5,Jordan Pierre Ayew,0.0,5,4.93,4,ayew,6,0.0,,,,,,2.0,5.0,,,3.0,,,,,,,,,,
Didier Deschamps,D. Deschamps,71485,França,2385,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_Rxi7Q3b.png,4,10.25,Didier Claude Deschamps,11.85,6,14.35,4,didier-deschamps,7,1.0,,,,,,,,,,,,,,,,,,,,4.0
Lukaku,Lukaku,71543,Bélgica,2392,0.8892923547,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_CNTYec2.png,4,5.1,Romelu Menama Lukaku Bolingoli,7.9,5,9.37,4,lukaku,6,-0.03,1.0,1.0,,,,,1.0,,1.0,,,2.0,,,1.0,,,,,
Weverton,Weverton,71631,Brasil,2318,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_MlOgHYn.png,0,0.0,Weverton Pereira da Silva,0.0,1,5.0,4,weverton,6,0.0,,,,,,,,,,,,,,,,,,,,
Gustavo Gómez,G. Gómez,71684,Paraguai,2354,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_YGp1Bhb.png,4,4.25,Gustavo Raúl Gómez Portillo,2.7,3,7.13,4,gustavo-gomez,7,-0.57,,,,,,5.0,3.0,,,1.0,,,,,1.0,,,,2.0,
Santi Arias,S. Arias,71701,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_xZlTh9X.png,1,9.2,Santiago Arias Naranjo,0.0,2,7.31,4,santi-arias,6,0.0,,,,,,3.0,1.0,,,,,,,,,,,,1.0,
Vincenzo Montella,V. Montella,73303,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_4KsinoB.png,3,5.39,Vincenzo Montella,0.0,6,7.12,4,vincenzo-montella,6,0.0,,,,,,,,,,,,,,,,,,,,1.0
Gordon,Gordon,73392,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_Oe1bjg7.png,0,0.0,Craig Sinclair Gordon - Anthony,0.0,1,3.0,4,gordon,6,0.0,,,,,,,,,,,,,,,,,,,,
Hanley,Hanley,73398,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_TZt5FZu.png,2,2.3,Grant Campbell Hanley,0.0,3,3.3,4,hanley,6,0.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,
Ralf Rangnick,R. Rangnick,73526,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_oxfb9HD.png,4,3.98,Ralf Rangnick,3.09,6,6.37,4,ralf-rangnick,6,-0.17,,,,,,,,,,,,,,,,,,,,1.0
Ospina,Ospina,74026,Colômbia,2373,0.7,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_vTI5zmY.png,0,0.0,David Ospina Ramírez,0.0,1,5.0,4,ospina,6,0.0,,,,,,,,,,,,,,,,,,,,
Gatito Fernández,G. Fernández,74061,Paraguai,2354,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_yc5BxKp.png,0,0.0,Roberto Júnior Fernández Torres,0.0,1,4.0,4,gatito-fernandez,6,0.0,,,,,,,,,,,,,,,,,,,,
Marquinhos,Marquinhos,74072,Brasil,2318,0.7703884789,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_SQtymfG.png,4,4.32,Marcos Aoás Corrêa,4.3,3,7.93,4,marquinhos,7,-0.01,,,,,,4.0,,,1.0,1.0,,,,,,,,,2.0,
Mauricio Pochettino,M. Pochettino,74161,Estados Unidos,2365,0.7,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_CwvJqfG.png,4,7.19,Mauricio Roberto Pochettino Trossero,8.16,6,9.62,4,mauricio-pochettino,7,1.05,,,,,,,,,,,,,,,,,,,,3.0
Ricardo Rodríguez,R. Rodríguez,77629,Suíça,2320,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_EXerrwy.png,3,3.3,Ricardo Iván Rodríguez Araya,9.4,2,6.62,4,ricardo-rodriguez,7,1.7,,,,,,4.0,8.0,,1.0,1.0,,,,,,,,,1.0,
Kovacic,Kovacic,77844,Croácia,2379,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_PrBS3GZ.png,3,5.17,Mateo Kovačić,7.1,4,8.36,4,kovacic,7,0.64,1.0,,,,,2.0,2.0,3.0,,3.0,1.0,,,,,,,,,
Witsel,Witsel,77898,Bélgica,2392,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_u2jIYWW.png,0,0.0,Axel Laurent Angel Lambert Witsel,0.0,4,7.0,4,witsel,6,0.0,,,,,,,,,,,,,,,,,,,,
Courtois,Courtois,77904,Bélgica,2392,0.833924055,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_nRfjuLx.png,4,3.83,Thibaut Nicolas Marc Courtois,1.9,1,10.92,4,courtois,7,-0.54,,,,11.0,,,,,,,,,,4.0,,,,,1.0,
Darida,Darida,78135,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_5TRw0Jq.png,0,0.0,Vladimír Darida,0.0,4,6.0,4,darida,6,0.0,,,,,,,,,,,,,,,,,,,,
Al-Haydos,Al-Haydos,78297,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/14/photo_FORMATO_BO01Rzv.png,2,4.85,Hassan Khalid Hasan Al Haydos - Hasan Alhaydos,0.0,4,4.61,4,al-haydos,6,0.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,
Gustavo Alfaro,G. Alfaro,79191,Paraguai,2354,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_vuKvB5a.png,4,7.02,Gustavo Julio Alfaro,7.3,6,7.98,4,gustavo-alfaro,7,0.63,,,,,,,,,,,,,,,,,,,,1.0
Paredes,Paredes,79259,Argentina,2357,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_5cLph6T.png,3,1.47,Leandro Daniel Paredes,4.2,4,7.2,4,paredes,6,0.28,,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,
Xhaka,Xhaka,79544,Suíça,2320,0.7971683843,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_Adydi0M.png,3,2.67,Granit Xhaka,5.2,4,8.69,4,xhaka,7,0.38,,1.0,,,,2.0,1.0,1.0,2.0,7.0,,,,,,,,,,
Douglas Santos,D. Santos,79826,Brasil,2318,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_YPIwf8V.png,4,7.08,Douglas dos Santos Justino de Melo,3.5,2,8.72,4,douglas-santos,7,-0.37,,1.0,,,,12.0,4.0,,2.0,2.0,,,,,1.0,,,,2.0,
Fabinho,Fabinho,80401,Brasil,2318,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_EnxA3pS.png,3,0.03,Fábio Henrique Tavares,0.8,4,3.78,4,fabinho,2,-0.16,,1.0,,,,1.0,4.0,,1.0,,,,,,,,,,,
Perisic,Perisic,80507,Croácia,2379,0.7,True,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_cA240Ip.png,3,7.33,Ivan Perišić,11.7,5,10.33,4,perisic,7,2.03,1.0,2.0,,,,7.0,4.0,1.0,,1.0,,1.0,,,,,,,,
Salah,Salah,80617,Egito,2324,0.87,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_SdvF0Hq.png,4,6.87,Mohamed Salah Hamed Mahrous Ghaly,3.4,5,14.95,4,salah,7,-0.42,2.0,,,,,,3.0,3.0,3.0,9.0,,1.0,,,1.0,,,,,
Payne,Payne,80647,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_NLUnE3g.png,3,3.3,Timothy John Payne,0.0,2,3.3,4,payne,6,0.0,1.0,,,,,3.0,2.0,,,2.0,,,,,,,,,,
Barbarouses,Barbarouses,80648,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_S6GXo6o.png,0,0.0,Konstantinos Barbarouses - Kosta,0.0,5,3.0,4,barbarouses,6,0.0,,,,,,,,,,,,,,,,,,,,
Hong Myung-Bo,H. Myung-Bo,80695,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_vYyJuL8.png,2,4.1,Myung-bo Hong,0.0,6,5.67,4,hong-myung-bo,6,0.0,,,,,,,,,,,,,,,,,,,,1.0
Raúl Jiménez,R. Jiménez,80717,México,2360,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_wbn2R1Z.png,2,11.8,Raúl Alonso Jiménez Rodríguez,10.6,5,13.18,4,raul-jimenez,7,1.41,,,,,,2.0,2.0,2.0,3.0,1.0,,2.0,,,1.0,,,,,
Günok,Günok,80899,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_3F8BxPO.png,0,0.0,Fehmi Mert Günok,0.0,1,5.0,4,gunok,6,0.0,,,,,,,,,,,,,,,,,,,,
Bono,Bono,80951,Marrocos,2332,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/06/photo_FORMATO.png,4,2.02,Yassine Bounou,2.1,1,6.66,4,bono,7,0.22,,,,7.0,,,,,,2.0,,,1.0,4.0,,,,,1.0,
Partey,Partey,80953,Gana,2375,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_FrRnkLq.png,2,4.95,Thomas Teye Partey,0.0,4,8.17,4,partey,6,0.0,,,,,,6.0,2.0,,,3.0,,,,,,,,,,
Rabiot,Rabiot,81104,França,2385,0.8833640279,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_BYFbljj.png,3,5.07,Adrien Thibault Marie Rabiot-Provost,4.3,4,11.07,4,rabiot,7,-0.03,1.0,,,,,6.0,7.0,1.0,2.0,1.0,,,,,,,,,,
Vladimir Petkovic,V. Petkovic,81141,Argélia,2338,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_oXeG9S7.png,4,4.5,Vladimir Petković,3.07,6,6.02,4,vladimir-petkovic,6,-0.05,,,,,,,,,,,,,,,,,,,,1.0
Jalal Hassan,J. Hassan,81462,Iraque,2342,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_UEzRY6w.png,2,2.1,Jalal Hassan Hachim - Hasan Hachem,0.0,1,3.17,4,jalal-hassan,6,0.0,,,,9.0,,,,,,1.0,,,,8.0,,,,,,
Irvine,Irvine,81779,Austrália,2333,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_PLrxAkS.png,4,1.52,Jackson Alexander Irvine,2.2,4,2.6,4,irvine,6,-0.05,,1.0,,,,3.0,3.0,1.0,1.0,3.0,,,,,,,,,,
Quintero,Quintero,81786,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_KMFSoaU.png,1,0.0,Juan Fernando Quintero Paniagua - Juanfer,0.0,4,4.9,4,quintero,6,0.0,,,,,,,,,,,,,,,,,,,,
Godoy,Godoy,81824,Panamá,3062,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_BoReo54.png,0,0.0,Aníbal Casis Godoy Lemus,0.0,4,3.0,4,godoy,6,0.0,,,,,,,,,,,,,,,,,,,,
Quintero,Quintero,81829,Panamá,3062,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_KPDNEdM.png,1,0.0,Alberto Abdiel Quintero Medina,0.0,4,2.45,4,quintero,6,0.0,,,,,,,,,,,,,,,,,,,,
Laporte,Laporte,81947,Espanha,2326,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_olXMQ24.png,4,8.75,Aymeric Jean Louis Gérard Alphonse Laporte - Fevre,8.6,3,10.82,4,laporte,7,1.06,1.0,,,,,4.0,2.0,1.0,3.0,2.0,,,,,,,,,4.0,
João Cancelo,J. Cancelo,81958,Portugal,2390,0.7056479949,True,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_PovWDAh.png,4,6.88,João Pedro Cavaco Cancelo,5.0,2,9.97,4,joao-cancelo,7,0.02,1.0,,,,,8.0,4.0,,1.0,2.0,,,,,1.0,,,,2.0,
Kim Seung-Gyu,K. Seung-Gyu,82002,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_VIajTXR.png,2,2.25,Kim Seung-Gyu,0.0,1,3.95,4,kim-seung-gyu,6,0.0,,,,5.0,,,,,,,,,,2.0,,,,,,
Lee Jae-Sung,L. Jae-Sung,82005,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_sTilRCR.png,1,3.4,Jae-Song Lee,0.0,4,6.02,4,lee-jae-sung,6,0.0,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,
Rabia,Rabia,82033,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_5eEzg6a.png,4,1.7,Ramy Hisham Abdelaziz Moustafa Rabiaa - Rami,1.4,3,3.48,4,rabia,7,0.07,,,,,,4.0,3.0,1.0,,1.0,,,,,,,,,,
Trézéguet,Trézéguet,82039,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_XFVoaG9.png,3,4.27,Mahmoud Ahmed Ibrahim Hassan,-0.3,4,7.47,4,trezeguet,6,-0.92,,,,,,1.0,3.0,2.0,1.0,2.0,,1.0,,,,,,,,
Hajime Moriyasu,H. Moriyasu,82042,Japão,2369,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_m4fn8Pn.png,4,5.65,Hajime Moriyasu,2.31,6,6.45,4,hajime-moriyasu,7,-0.13,,,,,,,,,,,,,,,,,,,,1.0
Son Heung-Min,S. Heung-Min,82060,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_m0bbRir.png,2,2.5,Heung-min Son,0.0,5,10.98,4,son-heung-min,6,0.0,,,,,,,,1.0,3.0,3.0,,,,,1.0,,,,,
Pickford,Pickford,82062,Inglaterra,2370,0.7403190286,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_RxYYE8O.png,4,4.07,Jordan Lee Pickford,0.3,1,7.53,4,pickford,7,-1.17,,,,6.0,,,,,,3.0,,,,3.0,,,,,2.0,
Harry Kane,H. Kane,82232,Inglaterra,2370,0.9981171548,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/17/photo_FORMATO_rOFqAI8.png,4,13.23,Harry Edward Kane,19.0,5,24.71,4,harry-kane,7,1.87,,,,,,1.0,5.0,5.0,5.0,6.0,,5.0,,,1.0,,,,,
Roberto Martínez,R. Martínez,82257,Portugal,2390,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO.png,4,6.86,Roberto Martínez Montoliú,6.45,6,9.41,4,roberto-martinez,7,0.41,,,,,,,,,,,,,,,,,,,,2.0
Steve Clarke,S. Clarke,82275,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_BB3LDkz.png,3,3.8,Stephen Clarke,0.0,6,4.99,4,steve-clarke,6,0.0,,,,,,,,,,,,,,,,,,,,1.0
Aké,Aké,82295,Holanda,2381,0.8039283428,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO.png,3,1.4,Nathan Benjamin Aké,1.5,2,5.15,4,ake,7,-0.36,,,,,,2.0,2.0,,1.0,2.0,,,,,,,,,,
Alisson,Alisson,82896,Brasil,2318,0.7995029073,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_9e4KFgA.png,4,5.57,Álisson Ramsés Becker,0.3,1,9.6,4,alisson,7,-1.51,,,,11.0,,,,,,,,,,2.0,,,,,2.0,
Kolasinac,Kolasinac,83119,Bósnia,2865,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_i4jLOM3.png,3,4.27,Sead Kolašinac,2.7,2,8.02,4,kolasinac,6,-0.22,1.0,,,,,5.0,4.0,,,3.0,,,,,,,,,,
