atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,A,DS,FC,FD,FS,FF,I,PC,SG,G,CA,V,FT,CV,DE,GS,GC,PS,clube_nome
79191,Gustavo Alfaro,6,2354,7.3,True,,,,,,,,,,,,,,,,,,,Paraguai
79259,Paredes,4,2357,4.2,True,,2.0,,1.0,,,,,,,,,,,,,,,Argentina
79544,Xhaka,4,2320,5.2,True,,2.0,1.0,,5.0,,,,,,,,,,,,,,Suíça
79826,Douglas Santos,2,2318,3.5,True,,2.0,,,1.0,,,,,,,,,,,,,,Brasil
80401,Fabinho,4,2318,0.8,True,,,,,,1.0,,,,,,,,,,,,,Brasil
80507,Perisic,5,2379,11.7,True,,3.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,Croácia
80617,Salah,5,2324,3.4,True,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,Egito
80717,Raúl Jiménez,5,2360,10.6,True,,,1.0,,1.0,3.0,,,,1.0,,,,,,,,,México
80951,Bono,1,2332,2.1,True,,,,,1.0,,,,,,,,,,2.0,1.0,,,Marrocos
81104,Rabiot,4,2385,4.3,True,,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,França
81141,Vladimir Petkovic,6,2338,3.07,True,,,,,,,,,,,,,,,,,,,Argélia
81779,Irvine,4,2333,2.2,True,,1.0,1.0,,2.0,,,,,,,,,,,,,,Austrália
81947,Laporte,3,2326,8.6,True,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,Espanha
81958,João Cancelo,2,2390,5.0,True,,3.0,1.0,,,1.0,,,,,,,,,,,,,Portugal
82033,Rabia,3,2324,1.4,True,,,1.0,1.0,1.0,,,,,,,,,,,,,,Egito
82039,Trézéguet,4,2324,-0.3,True,,,1.0,,,,,,,,,,,,,,,,Egito
82042,Hajime Moriyasu,6,2369,2.31,True,,,,,,,,,,,,,,,,,,,Japão
82062,Pickford,1,2370,0.3,True,,,,,,,,,,,,,,,1.0,1.0,,,Inglaterra
82232,Harry Kane,5,2370,19.0,True,,,,1.0,2.0,1.0,,,,2.0,,,,,,,,,Inglaterra
82257,Roberto Martínez,6,2390,6.45,True,,,,,,,,,,,,1.0,,,,,,,Portugal
82295,Aké,2,2381,1.5,True,,1.0,,,,,,,,,,,,,,,,,Holanda
82896,Alisson,1,2318,0.3,True,,,,,,,,,,,,,,,1.0,1.0,,,Brasil
83119,Kolasinac,2,2865,2.7,True,,2.0,1.0,,,,,,,,,,,,,,,,Bósnia
84061,Murat Yakin,6,2320,9.61,True,,,,,,,,,,,,1.0,,,,,,,Suíça
84774,Rüdiger,3,2384,-0.3,True,,,1.0,,,,,,,,,,,,,,,,Alemanha
84808,Rudi Garcia,6,2392,6.95,True,,,,,,,,,,,,1.0,,,,,,,Bélgica
84989,Digne,2,2385,6.4,True,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,França
84990,Maignan,1,2385,10.2,True,,,,,,,,,1.0,,,,,,4.0,,,,França
85035,Sanabria,5,2354,3.5,False,,2.0,,,1.0,,,,,,,,,,,,,,Paraguai
85084,De Bruyne,4,2392,0.8,True,,,,,,1.0,,,,,,,,,,,,,Bélgica
85181,Van Dijk,3,2381,1.5,True,,1.0,,,,,,,,,,,,,,,,,Holanda
85914,Hossam Hassan,6,2324,3.22,True,,,,,,,,,,,,,,,,,,,Egito
85995,Stones,3,2370,0.0,True,,,,,,,,,,,,,,,,,,,Inglaterra
86013,Mandi,3,2338,3.0,True,,2.0,,,,,,,,,,,,,,,,,Argélia
86213,Tah,3,2384,0.6,True,,,2.0,1.0,,,,,,,,,,,,,,,Alemanha
86256,Gana Gueye,4,2347,3.5,True,,1.0,,1.0,,1.0,,,,,,,,,,,,,Senegal
86260,Ryan Mendes,5,3201,5.8,True,1.0,,,,,1.0,,,,,,,,,,,,,Cabo Verde
86847,Widmer,2,2320,8.0,True,,2.0,,,,,,,1.0,,,,,,,,,,Suíça
86849,Bruno Fernandes,4,2390,5.2,True,,2.0,,1.0,2.0,,,,,,,,,,,,,,Portugal
87094,Bentaleb,4,2338,0.9,True,,1.0,2.0,,,,,,,,,,,,,,,,Argélia
87416,Masuaku,2,3184,3.0,True,,2.0,,,,,,,,,,,,,,,,,RD Congo
87771,Goretzka,4,2384,0.0,True,,,,,,,,,,,,,,,,,,,Alemanha
88108,Thomas Tuchel,6,2370,6.14,True,,,,,,,,,,,,1.0,,,,,,,Inglaterra
88312,Junior Alonso,3,2354,6.6,True,,4.0,2.0,1.0,,,,,,,,,,,,,,,Paraguai
88320,Almirón,4,2354,6.8,True,,3.0,,,3.0,1.0,,,,,,,,,,,,,Paraguai
88559,Steven Moreira,2,3201,1.0,True,,,,,2.0,,,,,,,,,,,,,,Cabo Verde
88676,Mario Pasalic,4,2379,0.7,True,,,,,,1.0,1.0,,,,,,,,,,,,Croácia
88745,Mahrez,5,2338,0.9,True,,,,,2.0,,1.0,,,,,,,,,,,,Argélia
89016,Ronald Koeman,6,2381,3.86,True,,,,,,,,,,,,,,,,,,,Holanda
89019,Dibu Martínez,1,2357,1.9,True,,,,,,,,,,,,,,,3.0,2.0,,,Argentina
89091,Rúben Neves,4,2390,0.0,True,,,,,,,,,,,,,,,,,,,Portugal
89161,Sané,4,2384,0.7,True,,,,,,1.0,1.0,,,,,,,,,,,,Alemanha
89189,Mané,5,2347,3.9,True,,1.0,2.0,1.0,4.0,,2.0,,,,,,,,,,,,Senegal
89236,Nyland,1,2323,4.2,True,,,,,,,,,,,,,,,4.0,1.0,,,Noruega
89282,Embolo,5,2320,11.1,True,,1.0,,,,2.0,,,,1.0,,,,,,,,,Suíça
89432,Bernardo Silva,4,2390,0.0,True,,,,,,,,,,,,,,,,,,,Portugal
89712,Kramaric,5,2379,0.0,True,,,,,,,,,,,,,,,,,,,Croácia
89766,Sabitzer,4,2391,3.6,True,,2.0,1.0,,2.0,,1.0,,,,,,,,,,,,Áustria
89843,Cubas,4,2354,9.7,True,,7.0,1.0,,1.0,,,,,,1.0,,,,,,,,Paraguai
89889,Amiri,4,2384,0.8,False,,,,,,1.0,,,,,,,,,,,,,Alemanha
89912,De Paul,4,2357,1.2,True,,1.0,1.0,,,,,,,,,,,,,,,,Argentina
89973,Ödegaard,4,2323,9.4,True,1.0,3.0,2.0,,1.0,,,,,,,,,,,,,,Noruega
90375,Diaw,1,2347,1.4,True,,,,,1.0,,,,,,,,,,3.0,3.0,,,Senegal
91458,Behich,2,2333,6.7,True,,3.0,,1.0,2.0,,,,,,,,,,,,,,Austrália
91635,Bongonda,5,3184,0.5,True,,,,,1.0,,,,,,,,,,,,,,RD Congo
92235,Kimmich,2,2384,6.5,True,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,Alemanha
92289,Gregoritsch,5,2391,2.8,True,,2.0,,,,,2.0,,,,,,,,,,,,Áustria
92343,Meunier,2,2392,5.6,True,1.0,1.0,3.0,,,,,,,,,,,,,,,,Bélgica
92347,Mechele,3,2392,0.7,True,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,Bélgica
92351,Vanaken,4,2392,1.0,True,,,,,2.0,,,,,,,,,,,,,,Bélgica
92399,Bensebaini,3,2338,2.0,True,,1.0,,,1.0,,,,,,,,,,,,,,Argélia
92446,Mbemba,3,3184,6.5,True,1.0,1.0,,,,,,,,,,,,,,,,,RD Congo
92458,Antonee Robinson,2,2365,10.5,True,,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,Estados Unidos
92510,Fabián Ruiz,4,2326,0.0,True,,,,,,,,,,,,,,,,,,,Espanha
92544,Ream,3,2365,5.5,True,,,,,1.0,,,,1.0,,,,,,,,,,Estados Unidos
92648,Svanberg,4,2368,5.5,True,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,Suécia
92755,Canale,3,2354,4.0,True,,2.0,,,2.0,,,,,,,,,,,,,,Paraguai
92805,Elvedi,3,2320,8.0,True,,2.0,,,,,,,1.0,,,,,,,,,,Suíça
92881,Semedo,2,2390,0.5,True,,,,,1.0,,,,,,,,,,,,,,Portugal
93279,Rashford,5,2370,4.2,True,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,Inglaterra
93289,Lindelöf,3,2368,0.0,True,,,,,,,,,,,,,,,,,,,Suécia
93334,Oyarzabal,5,2326,22.9,True,,2.0,1.0,2.0,2.0,1.0,,,,2.0,,,,,,,,,Espanha
93923,Diop,3,2332,9.4,True,,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,Marrocos
94103,Gabriel Magalhães,3,2318,5.0,True,1.0,,,,,,,,,,,,,,,,,,Brasil
94797,Mabil,4,2333,0.5,False,,,,,1.0,,,,,,,,,,,,,,Austrália
94919,Pulisic,4,2365,4.2,True,,1.0,,,4.0,1.0,1.0,,,,,,,,,,,,Estados Unidos
94930,Lucas Paquetá,4,2318,4.3,True,,2.0,,,1.0,1.0,,,,,,,,,,,,,Brasil
94965,Rúben Dias,3,2390,2.4,True,,2.0,2.0,,2.0,,,,,,1.0,,,,,,,,Portugal
95063,Mbappé,5,2385,21.5,True,,,1.0,2.0,1.0,,1.0,,,2.0,,,1.0,,,,,,França
95138,Molina,2,2357,2.6,True,,2.0,1.0,,,,1.0,,,,,,,,,,,,Argentina
95282,Lautaro Martínez,5,2357,-0.6,True,,,2.0,,,,,,,,,,,,,,,,Argentina
95456,Rodri,4,2326,10.3,True,,6.0,,,1.0,1.0,,,,,,,,,,,,,Espanha
95520,Gallardo,2,2360,6.4,True,,1.0,3.0,,,1.0,,,1.0,,,,,,,,,,México
95534,Dembélé,5,2385,10.0,True,1.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,França
95808,Zakaria,4,2320,9.5,True,,5.0,,1.0,,1.0,,,,,,,,,,,,,Suíça
95893,Montes,3,2360,6.7,True,,,,1.0,1.0,,,,1.0,,,,,,,,,,México
96330,Ogawa,5,2369,0.0,True,,,,,,,,,,,,,,,,,,,Japão
96333,Tomiyasu,2,2369,0.2,True,,,1.0,,1.0,,,,,,,,,,,,,,Japão
96343,Tuanzebe,3,3184,1.2,True,,1.0,1.0,,,,,,,,,,,,,,,,RD Congo
96352,Zidane,1,2338,0.6,True,,,,,,,,,,,,,,,2.0,2.0,,,Argélia
96380,Rice,4,2370,1.5,True,,1.0,,,,,,,,,,,,,,,,,Inglaterra
96538,Theo Hernández,2,2385,5.0,True,,,,,,,,,1.0,,,,,,,,,,França
96568,Ajer,3,2323,1.5,True,,1.0,,,,,,,,,,,,,,,,,Noruega
96670,Sangaré,4,2350,4.0,True,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,Costa do Marfim
96672,Lukébakio,5,2392,5.3,True,,3.0,,,,1.0,,,,,,,,,,,,,Bélgica
96681,Tagliafico,2,2357,2.4,True,,1.0,,,2.0,,1.0,,,,,,,,,,,,Argentina
96724,Cuti Romero,3,2357,4.4,True,,3.0,2.0,,1.0,,,,,,,,,,,,,,Argentina
96809,Livakovic,1,2379,-0.7,True,,,,,,,,,,,,,,,1.0,2.0,,,Croácia
96822,Dani Olmo,4,2326,4.7,True,,3.0,1.0,,1.0,,,,,,,,,,,,,,Espanha
96833,Mateta,5,2385,1.0,True,,,1.0,,1.0,1.0,,,,,,,,,,,,,França
96838,Merino,4,2326,0.2,True,,,1.0,,1.0,,,,,,,,,,,,,,Espanha
97054,Akanji,3,2320,8.0,True,,2.0,,,,,,,1.0,,,,,,,,,,Suíça
97106,De Roon,4,2381,0.0,True,,,,,,,,,,,,,,,,,,,Holanda
97127,Freuler,4,2320,3.6,True,,2.0,2.0,1.0,,,,,,,,,,,,,,,Suíça
97128,Kessié,4,2350,2.1,True,,1.0,2.0,1.0,,,,,,,,,,,,,,,Costa do Marfim
97185,Budimir,5,2379,2.7,True,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,Croácia
97214,Julian Nagelsmann,6,2384,3.81,True,,,,,,,,,,,,,,,,,,,Alemanha
97246,Tielemans,4,2392,20.9,True,,2.0,4.0,,1.0,2.0,,,,2.0,,,,,,,,1.0,Bélgica
97348,Havertz,5,2384,11.7,True,,1.0,2.0,2.0,3.0,,1.0,,,1.0,1.0,,,,,,,,Alemanha
97613,Medina,3,2357,4.4,True,,3.0,,,,,1.0,,,,,,,,,,,,Argentina
97614,Montiel,2,2357,-1.3,True,,,1.0,,,,,,,,1.0,,,,,,,,Argentina
97656,Unai Simón,1,2326,5.5,True,,,,,1.0,,,,1.0,,,,,,,,,,Espanha
97698,Isak,5,2368,3.0,True,,1.0,3.0,2.0,,,,,,,,,,,,,,,Suécia
98019,Hakimi,2,2332,9.7,True,,3.0,,1.0,2.0,,,,,,,,1.0,,,,,,Marrocos
98141,Wan-Bissaka,2,3184,0.4,True,,,,,1.0,,1.0,,,,,,,,,,,,RD Congo
98147,Grillitsch,4,2391,3.2,True,,2.0,1.0,,1.0,,,,,,,,,,,,,,Áustria
98352,Bruno Guimarães,4,2318,12.8,True,1.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,,,Brasil
99014,Aouar,4,2338,1.7,True,,,,1.0,1.0,,,,,,,,,,,,,,Argélia
99134,Danso,3,2391,3.5,True,,2.0,,,1.0,,,,,,,,,,,,,,Áustria
99144,Kobel,1,2320,7.6,True,,,,,,,,,1.0,,,,,,2.0,,,,Suíça
99277,Sebastián Beccacece,6,2372,1.63,True,,,,,,,,,,,,,,,,,,,Equador
99282,Jordy Caicedo,5,2372,-0.6,True,,,2.0,,,,,,,,,,,,,,,,Equador
99331,Pépé,5,2350,8.2,True,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,Costa do Marfim
99405,Ismaïla Sarr,5,2347,19.0,True,,1.0,1.0,,6.0,1.0,,,,1.0,,,2.0,,,,,,Senegal
99514,Kluivert,4,2381,0.0,True,,,,,,,,,,,,,,,,,,,Holanda
99515,De Jong,4,2381,0.6,True,,,3.0,,3.0,,,,,,,,,,,,,,Holanda
99535,Vini Jr.,5,2318,8.0,True,,1.0,,1.0,3.0,1.0,,,,,,,1.0,,,,,,Brasil
99684,Hrustic,4,2333,1.2,True,,1.0,1.0,,,,,,,,,,,,,,,,Austrália
99705,Hugo Broos,6,2358,0.0,False,,,,,,,,,,,,,,,,,,,África do Sul
99748,Galíndez,1,2372,-0.7,True,,,,,,,,,,,,,,,1.0,2.0,,,Equador
99851,Pedro Neto,5,2390,1.5,True,,1.0,,,,,,,,,,,,,,,,,Portugal
99997,Posch,2,2391,3.9,True,,3.0,3.0,,1.0,1.0,,,,,1.0,,,,,,,,Áustria
100038,Niakhaté,3,2347,5.0,True,1.0,,,,,,,,,,,,,,,,,,Senegal
100098,Demirovic,5,2865,3.2,True,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,Bósnia
100140,Berge,4,2323,3.0,True,,2.0,,,,,,,,,,,,,,,,,Noruega
100316,McKennie,4,2365,1.2,True,,1.0,1.0,,,,,,,,,,,,,,,,Estados Unidos
100318,Vlasic,4,2379,3.8,True,,3.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,Croácia
100320,Gouiri,5,2338,0.0,True,,,,,,,,,,,,,,,,,,,Argélia
100414,Souttar,3,2333,-1.2,True,,,4.0,,,,,,,,,,,,,,,,Austrália
100539,Zlatko Dalic,6,2379,3.53,True,,,,,,,,,,,,,,,,,,,Croácia
100627,Upamecano,3,2385,4.7,True,,,1.0,,,,,,1.0,,,,,,,,,,França
100629,Laimer,2,2391,3.9,True,,3.0,2.0,,,,,,,,,,,,,,,,Áustria
100730,Joris Kayembe,2,3184,0.0,True,,,,,,,,,,,,,,,,,,,RD Congo
100731,Moutoussamy,4,3184,2.7,True,,2.0,1.0,,,,,,,,,,,,,,,,RD Congo
100745,Brahim Díaz,4,2332,1.5,True,,1.0,,,,,,,,,,,,,,,,,Marrocos
100802,Anton,3,2384,2.2,True,,1.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,Alemanha
100815,Nuno da Costa,5,3201,0.0,True,,,,,,,,,,,,,,,,,,,Cabo Verde
101124,O'Neill,4,2333,1.5,True,,,1.0,,2.0,1.0,,,,,,,,,,,,,Austrália
101382,Gakpo,5,2381,9.4,True,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,Holanda
101843,Ferran Torres,5,2326,1.6,True,,,,,,2.0,,,,,,,,,,,,,Espanha
101851,Gabriel Martinelli,5,2318,8.5,True,,,1.0,,,1.0,,,,1.0,,,,,,,,,Brasil
101924,Okafor,5,2320,1.5,True,,1.0,,,,,,,,,,,,,,,,,Suíça
101932,Graham Potter,6,2368,3.8,True,,,,,,,,,,,,,,,,,,,Suécia
102388,Weghorst,5,2381,2.2,True,,1.0,1.0,,2.0,,,,,,,,,,,,,,Holanda
102697,Kamada,4,2369,-0.5,True,,,1.0,,,1.0,,,,,1.0,,,,,,,,Japão
102754,Xaver Schlager,4,2391,1.5,True,,1.0,,,,,,,,,,,,,,,,,Áustria
102763,Hafez,2,2324,10.0,True,1.0,3.0,,,1.0,,,,,,,,,,,,,,Egito
102866,Adams,4,2365,4.2,True,,3.0,1.0,,,,,,,,,,,,,,,,Estados Unidos
103067,Cucurella,2,2326,16.9,True,2.0,1.0,2.0,,2.0,,,,1.0,,,,,,,,,,Espanha
103110,Gyökeres,5,2368,6.2,True,,2.0,,1.0,4.0,,,,,,,,,,,,,,Suécia
103149,Aït-Nouri,2,2338,11.9,True,,8.0,2.0,,1.0,,,,,,,,,,,,,,Argélia
103184,Pedro Porro,2,2326,16.7,True,,2.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,Espanha
103269,Lionel Scaloni,6,2357,7.5,True,,,,,,,,,,,,1.0,,,,,,,Argentina
103340,Saliba,3,2385,4.4,True,,,2.0,,,,,,1.0,,,,,,,,,,França
103351,Dumfries,2,2381,0.0,True,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,Holanda
103419,Konan,2,2350,5.8,True,,3.0,,,1.0,1.0,,,,,,,,,,,,,Costa do Marfim
103470,Aebischer,4,2320,0.0,True,,,,,,,,,,,,,,,,,,,Suíça
103561,Castagne,2,2392,7.4,True,,5.0,3.0,,,1.0,,,,,,,,,,,,,Bélgica
103648,Rafael Leão,5,2390,8.8,True,1.0,,,,,1.0,,,,,,,1.0,,,,,,Portugal
103687,Julián Álvarez,5,2357,1.2,True,,1.0,1.0,,,,,,,,,,,,,,,,Argentina
103713,Alvarado,4,2360,7.3,True,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,México
103756,Tchouaméni,4,2385,6.0,True,,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,França
103759,Koundé,2,2385,7.0,True,,1.0,,,1.0,,,,1.0,,,,,,,,,,França
103888,Pineda,4,2360,1.8,True,,,,,2.0,1.0,,,,,,,,,,,,,México
103898,Nmecha,4,2384,1.2,True,,1.0,1.0,,,,,,,,,,,,,,,,Alemanha
103976,Saka,5,2370,1.5,True,,1.0,,,,,,,,,,,,,,,,,Inglaterra
104038,Mazraoui,2,2332,4.5,True,,3.0,,,,,,,,,,,,,,,,,Marrocos
104042,Gravenberch,4,2381,1.7,True,,1.0,1.0,,1.0,,,,,,,,,,,,,,Holanda
104776,Lisandro Martínez,3,2357,13.0,True,1.0,,,,,,,,,1.0,,,,,,,,,Argentina
105267,Trossard,5,2392,10.4,True,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,Bélgica
105605,Matheus Cunha,5,2318,2.9,True,,,1.0,2.0,,1.0,,,,,,,,,,,,,Brasil
105647,Maurício,4,2354,1.7,True,,1.0,1.0,,1.0,,,,,,,,,,,,,,Paraguai
105728,Ueda,5,2369,1.4,True,,,2.0,1.0,,1.0,,,,,,,,,,,,,Japão
105729,Maeda,5,2369,6.5,True,,4.0,,,1.0,,,,,,,,,,,,,,Japão
105952,Mac Allister,4,2357,10.5,True,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,Argentina
106011,Enciso,4,2354,9.7,True,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,Paraguai
106019,Jesse Marsch,6,2361,0.0,False,,,,,,,,,,,,,,,,,,,Canadá
106032,Haaland,5,2323,10.0,True,,,,1.0,,1.0,,,,1.0,,,,,,,,,Noruega
106037,Pongracic,3,2379,0.0,True,,,,,,,,,,,,,,,,,,,Croácia
106254,Jorge Sánchez,2,2360,6.2,True,,1.0,1.0,,,,,,1.0,,,,,,,,,,México
106302,Preciado,2,2372,0.0,True,,,,,,,,,,,,,,,,,,,Equador
106362,Mbuku,4,3184,3.3,True,,1.0,,,2.0,1.0,,,,,,,,,,,,,RD Congo
106384,Kossounou,3,2350,1.5,True,,1.0,,,,,,,,,,,,,,,,,Costa do Marfim
106387,De Ketelaere,5,2392,0.0,True,,,,,,,,,,,,,,,,,,,Bélgica
106388,Diatta,2,2347,1.1,True,,,3.0,,4.0,,,,,,,,,,,,,,Senegal
106421,Junya Ito,4,2369,2.5,True,,1.0,,,2.0,,,,,,,,,,,,,,Japão
106422,Nygren,5,2368,0.0,True,,,,,,,,,,,,,,,,,,,Suécia
106433,Nico González,5,2357,6.5,True,,4.0,1.0,,,1.0,,,,,,,,,,,,,Argentina
106494,Boudaoui,4,2338,0.4,True,,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,Argélia
106524,Dest,2,2365,5.7,True,,,1.0,,2.0,,,,1.0,,,,,,,,,,Estados Unidos
106541,Konsa,3,2370,0.2,True,,,1.0,,1.0,,,,,,,,,,,,,,Inglaterra
106680,Diallo,5,2350,10.6,True,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,Costa do Marfim
106784,Vásquez,3,2360,6.8,True,,,,,2.0,1.0,,,1.0,,,,,,,,,,México
107027,Gordon,5,2370,12.7,True,2.0,2.0,1.0,,,,,,,,,,,,,,,,Inglaterra
107231,Danilo Santos,4,2318,0.0,True,,,,,,,,,,,,,,,,,,,Brasil
107527,Wissa,5,3184,6.2,True,,1.0,,,2.0,1.0,1.0,,,,,,1.0,,,,,,RD Congo
107873,Bobadilla,4,2354,5.7,True,,4.0,1.0,,,,,,,,,,,,,,,,Paraguai
108196,Cherki,4,2385,-0.3,True,,,1.0,,,,,,,,,,,,,,,,França
108334,Moisés Caicedo,4,2372,2.0,True,,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,Equador
108335,Hincapié,3,2372,-0.1,True,,2.0,2.0,,1.0,,,,,,,,,1.0,,,,,Equador
108342,Reyna,4,2365,0.0,True,,,,,,,,,,,,,,,,,,,Estados Unidos
108358,Almada,4,2357,0.2,True,,,1.0,,1.0,,,,,,,,,,,,,,Argentina
108528,Galarza,4,2354,11.8,True,1.0,5.0,4.0,,3.0,,,,,,1.0,,,,,,,,Paraguai
108601,Pacho,3,2372,1.7,True,,1.0,1.0,,1.0,,,,,,,,,,,,,,Equador
108643,Enzo Fernández,4,2357,3.9,True,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,Argentina
108668,Cáceres,2,2354,4.2,True,,3.0,1.0,,,,,,,,,,,,,,,,Paraguai
108923,Woltemade,5,2384,2.3,True,,1.0,,,,1.0,,,,,,,,,,,,,Alemanha
108927,Wirtz,4,2384,9.7,True,1.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,Alemanha
108948,Marmoush,5,2324,2.3,True,,1.0,,,,1.0,,,,,,,,,,,,,Egito
108962,Vargas,4,2320,-0.3,True,,,1.0,,,,,,,,,,,,,,,,Suíça
109022,Jakobs,2,2347,2.7,True,,2.0,1.0,,,,,,,,,,,,,,,,Senegal
109046,Vitinha,4,2390,1.2,True,,,1.0,,3.0,,,,,,,,,,,,,,Portugal
109049,Diogo Costa,1,2390,6.8,True,,,,,,,,,,,,,,,6.0,1.0,,,Portugal
109096,Plata,5,2372,5.5,True,,3.0,,,2.0,,,,,,,,,,,,,,Equador
109097,Jovane Cabral,5,3201,4.5,True,,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,Cabo Verde
109118,Musiala,4,2384,1.2,True,,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,Alemanha
109123,Richards,3,2365,5.2,True,,,1.0,,1.0,,,,1.0,,,,,,,,,,Estados Unidos
109333,Baena,4,2326,9.0,True,1.0,,,,2.0,,,,,,,,1.0,,,,,,Espanha
109557,Alexander Schlager,1,2391,5.3,True,,,,,1.0,,,,,,,,,,6.0,3.0,,,Áustria
109570,Pedri,4,2326,2.0,True,,1.0,,,1.0,,,,,,,,,,,,,,Espanha
109592,Tillman,4,2365,13.5,True,,3.0,,,2.0,,,,,1.0,,,,,,,,,Estados Unidos
109850,Van Hecke,3,2381,3.2,True,,2.0,1.0,,1.0,,,,,,,,,,,,,,Holanda
109852,Pape Gueye,4,2347,0.7,True,,,2.0,,1.0,1.0,,,,,,,,,,,,,Senegal
110083,Ndoye,5,2320,13.7,True,,3.0,1.0,,3.0,,,,,1.0,,,,,,,,,Suíça
110084,Guessand,5,2350,0.0,True,,,,,,,,,,,,,,,,,,,Costa do Marfim
110219,Bellingham,4,2370,3.7,True,,,2.0,4.0,1.0,,,,,,1.0,,,,,,,,Inglaterra
