atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Casemiro,Casemiro,70119,Brasil,2318,0.8290414182,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_2WmWgzz.png,2,4.55,Carlos Henrique José Francisco Venancio Casimiro,8.4,4,11.89,2,casemiro,7,0.34,,1.0,,,6.0,3.0,,,4.0,,,,,,,,,,
Hajsafi,Hajsafi,70594,Irã,2336,0.0,True,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_PuP6PnI.png,2,2.7,Ehsan Haji Safi - Hajisafi,6.2,2,3.43,2,hajsafi,7,1.28,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,1.0,
Vargas,Vargas,70734,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_H9WrNFE.png,0,0.0,Camilo Andrés Vargas Gil,0.0,1,7.0,2,vargas,7,0.0,,,,,,,,,,,,,,,,,,,
Enner Valencia,E. Valencia,70788,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_clFjOtI.png,2,5.25,Enner Remberto Valencia Lastra,6.4,5,6.87,2,enner-valencia,7,0.61,,,,,,3.0,5.0,,5.0,1.0,,,,1.0,,,,,
Kakuta,Kakuta,70891,RD Congo,3184,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_mUhyXRy.png,0,0.0,Gaël Roméo Kakuta Mambenga,0.0,4,3.0,2,kakuta,6,0.0,,,,,,,,,,,,,,,,,,,
Carlo Ancelotti,C. Ancelotti,70892,Brasil,2318,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/08/photo_FORMATO_e7MFtKO.png,2,6.97,Carlo Ancelotti,9.59,6,10.49,2,carlo-ancelotti,7,0.91,,,,,,,,,,,,,,,,,,,1.0
Staale Solbakken,S. Solbakken,70911,Noruega,2323,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_nrdbjh6.png,2,5.92,Ståle Solbakken - Stale,6.33,6,5.88,2,staale-solbakken,7,0.74,,,,,,,,,,,,,,,,,,,2.0
Jordan Henderson,J. Henderson,70972,Inglaterra,2370,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_EanWegg.png,0,0.0,Jordan Brian Henderson,0.0,4,8.0,2,jordan-henderson,6,0.0,,,,,,,,,,,,,,,,,,,
Alaba,Alaba,71178,Áustria,2391,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_FmXI5Gk.png,2,0.0,David Olatukunbo Alaba,0.0,3,6.12,2,alaba,7,-1.15,,,,,,,,,,,,,,,,,,,
Dzeko,Dzeko,71184,Bósnia,2865,0.8456479949,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/08/photo_FORMATO_FktPMGS.png,0,0.0,Edin Džeko,0.0,5,12.0,2,dzeko,7,0.0,,,,,,,,,,,,,,,,,,,
Ayew,Ayew,71484,Gana,2375,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_VtEJOMB.png,1,1.8,Jordan Pierre Ayew,1.8,5,5.48,2,ayew,7,-0.52,,,,,1.0,4.0,,,3.0,,,,,,,,,,
Didier Deschamps,D. Deschamps,71485,França,2385,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_Rxi7Q3b.png,2,9.11,Didier Claude Deschamps,11.1,6,13.0,2,didier-deschamps,7,0.85,,,,,,,,,,,,,,,,,,,2.0
Lukaku,Lukaku,71543,Bélgica,2392,0.8892923547,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_CNTYec2.png,2,-0.25,Romelu Menama Lukaku Bolingoli,-1.3,5,7.36,2,lukaku,7,-1.8,,1.0,,,,1.0,,1.0,,,,,,,,,,,
Weverton,Weverton,71631,Brasil,2318,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_MlOgHYn.png,0,0.0,Weverton Pereira da Silva,0.0,1,5.0,2,weverton,6,0.0,,,,,,,,,,,,,,,,,,,
Gustavo Gómez,G. Gómez,71684,Paraguai,2354,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_YGp1Bhb.png,2,3.15,Gustavo Raúl Gómez Portillo,5.5,3,7.09,2,gustavo-gomez,7,0.35,,,,,1.0,2.0,,,1.0,,,,,1.0,,,,1.0,
Santi Arias,S. Arias,71701,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_xZlTh9X.png,0,0.0,Santiago Arias Naranjo,0.0,2,5.0,2,santi-arias,6,0.0,,,,,,,,,,,,,,,,,,,
Vincenzo Montella,V. Montella,73303,Turquia,2328,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_4KsinoB.png,2,3.64,Vincenzo Montella,4.11,6,6.02,2,vincenzo-montella,7,0.08,,,,,,,,,,,,,,,,,,,
Gordon,Gordon,73392,Escócia,2327,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_Oe1bjg7.png,0,0.0,Craig Sinclair Gordon - Anthony,0.0,1,3.0,2,gordon,6,0.0,,,,,,,,,,,,,,,,,,,
Hanley,Hanley,73398,Escócia,2327,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_TZt5FZu.png,2,2.3,Grant Campbell Hanley,-0.1,3,3.3,2,hanley,7,-0.75,,,,,,1.0,,,,,,,,1.0,,,,1.0,
Ralf Rangnick,R. Rangnick,73526,Áustria,2391,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_oxfb9HD.png,2,3.73,Ralf Rangnick,1.81,6,6.1,2,ralf-rangnick,7,-0.7,,,,,,,,,,,,,,,,,,,1.0
Ospina,Ospina,74026,Colômbia,2373,0.7,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_vTI5zmY.png,0,0.0,David Ospina Ramírez,0.0,1,5.0,2,ospina,6,0.0,,,,,,,,,,,,,,,,,,,
Gatito Fernández,G. Fernández,74061,Paraguai,2354,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_yc5BxKp.png,0,0.0,Roberto Júnior Fernández Torres,0.0,1,4.0,2,gatito-fernandez,6,0.0,,,,,,,,,,,,,,,,,,,
Marquinhos,Marquinhos,74072,Brasil,2318,0.7703884789,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_SQtymfG.png,2,4.0,Marcos Aoás Corrêa,6.5,3,8.22,2,marquinhos,7,0.43,,,,,2.0,,,,,,,,,,,,,1.0,
Mauricio Pochettino,M. Pochettino,74161,Estados Unidos,2365,0.7,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_CwvJqfG.png,2,8.22,Mauricio Roberto Pochettino Trossero,9.2,6,9.14,2,mauricio-pochettino,7,0.98,,,,,,,,,,,,,,,,,,,2.0
Ricardo Rodríguez,R. Rodríguez,77629,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_EXerrwy.png,1,-0.6,Ricardo Iván Rodríguez Araya,0.0,2,5.44,2,ricardo-rodriguez,7,0.0,,,,,,2.0,,,,,,,,,,,,,
Kovacic,Kovacic,77844,Croácia,2379,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_PrBS3GZ.png,1,1.9,Mateo Kovačić,0.0,4,7.12,2,kovacic,6,0.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,
Witsel,Witsel,77898,Bélgica,2392,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_u2jIYWW.png,0,0.0,Axel Laurent Angel Lambert Witsel,0.0,4,7.0,2,witsel,6,0.0,,,,,,,,,,,,,,,,,,,
Courtois,Courtois,77904,Bélgica,2392,0.833924055,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_nRfjuLx.png,2,6.55,Thibaut Nicolas Marc Courtois,8.9,1,13.66,2,courtois,7,0.09,,,,7.0,,,,,,,,,1.0,,,,,1.0,
Darida,Darida,78135,República Tcheca,2352,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_5TRw0Jq.png,0,0.0,Vladimír Darida,0.0,4,6.0,2,darida,6,0.0,,,,,,,,,,,,,,,,,,,
Al-Haydos,Al-Haydos,78297,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/14/photo_FORMATO_BO01Rzv.png,1,0.0,Hassan Khalid Hasan Al Haydos - Hasan Alhaydos,0.0,4,2.42,2,al-haydos,6,0.0,,,,,,,,,,,,,,,,,,,
Gustavo Alfaro,G. Alfaro,79191,Paraguai,2354,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_vuKvB5a.png,2,6.15,Gustavo Julio Alfaro,8.98,6,6.64,2,gustavo-alfaro,7,1.46,,,,,,,,,,,,,,,,,,,1.0
Paredes,Paredes,79259,Argentina,2357,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_5cLph6T.png,1,0.2,Leandro Daniel Paredes,0.2,4,8.17,2,paredes,7,-1.83,,1.0,,,1.0,1.0,,,,,,,,,,,,,
Xhaka,Xhaka,79544,Suíça,2320,0.7971683843,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_Adydi0M.png,1,2.0,Granit Xhaka,0.0,4,9.57,2,xhaka,7,0.0,,,,,,,1.0,1.0,,,,,,,,,,,
Douglas Santos,D. Santos,79826,Brasil,2318,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_YPIwf8V.png,2,8.0,Douglas dos Santos Justino de Melo,7.6,2,8.36,2,douglas-santos,7,0.61,,1.0,,,8.0,4.0,,1.0,1.0,,,,,1.0,,,,1.0,
Fabinho,Fabinho,80401,Brasil,2318,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_EnxA3pS.png,1,0.6,Fábio Henrique Tavares,0.0,4,5.05,2,fabinho,6,0.0,,,,,1.0,3.0,,,,,,,,,,,,,
Perisic,Perisic,80507,Croácia,2379,0.7,False,https://s.sde.globo.com/media/person_role/2026/05/18/photo_FORMATO_cA240Ip.png,1,7.4,Ivan Perišić,0.0,5,9.02,2,perisic,7,0.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,
Salah,Salah,80617,Egito,2324,0.87,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_SdvF0Hq.png,2,11.7,Mohamed Salah Hamed Mahrous Ghaly,16.3,5,18.42,2,salah,7,1.43,2.0,,,,,2.0,2.0,2.0,4.0,,1.0,,,,,,,,
Payne,Payne,80647,Nova Zelândia,2340,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_NLUnE3g.png,2,3.95,Timothy John Payne,4.7,2,3.46,2,payne,7,0.74,1.0,,,,2.0,2.0,,,1.0,,,,,,,,,,
Barbarouses,Barbarouses,80648,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/21/photo_FORMATO_S6GXo6o.png,0,0.0,Konstantinos Barbarouses - Kosta,0.0,5,3.0,2,barbarouses,6,0.0,,,,,,,,,,,,,,,,,,,
Hong Myung-Bo,H. Myung-Bo,80695,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_vYyJuL8.png,1,5.77,Myung-bo Hong,0.0,6,6.03,2,hong-myung-bo,7,0.0,,,,,,,,,,,,,,,,,,,1.0
Raúl Jiménez,R. Jiménez,80717,México,2360,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_wbn2R1Z.png,1,13.0,Raúl Alonso Jiménez Rodríguez,0.0,5,11.77,2,raul-jimenez,7,0.0,,,,,2.0,1.0,2.0,,,,1.0,,,1.0,,,,,
Günok,Günok,80899,Turquia,2328,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/03/photo_FORMATO_3F8BxPO.png,0,0.0,Fehmi Mert Günok,0.0,1,5.0,2,gunok,6,0.0,,,,,,,,,,,,,,,,,,,
Bono,Bono,80951,Marrocos,2332,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/06/photo_FORMATO.png,2,4.85,Yassine Bounou,5.5,1,8.7,2,bono,7,-0.02,,,,4.0,,,,,1.0,,,,1.0,,,,,1.0,
Partey,Partey,80953,Gana,2375,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_FrRnkLq.png,1,4.7,Thomas Teye Partey,4.7,4,8.11,2,partey,7,0.11,,,,,3.0,1.0,,,1.0,,,,,,,,,,
Rabiot,Rabiot,81104,França,2385,0.8833640279,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/14/photo_FORMATO_BYFbljj.png,2,5.45,Adrien Thibault Marie Rabiot-Provost,3.2,4,11.1,2,rabiot,6,-1.25,1.0,,,,4.0,3.0,,1.0,,,,,,,,,,,
Vladimir Petkovic,V. Petkovic,81141,Argélia,2338,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_oXeG9S7.png,2,4.95,Vladimir Petković,7.16,6,6.01,2,vladimir-petkovic,7,1.03,,,,,,,,,,,,,,,,,,,1.0
Jalal Hassan,J. Hassan,81462,Iraque,2342,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/02/photo_FORMATO_UEzRY6w.png,1,0.4,Jalal Hassan Hachim - Hasan Hachem,0.0,1,2.56,2,jalal-hassan,6,0.0,,,,3.0,,,,,1.0,,,,4.0,,,,,,
Irvine,Irvine,81779,Austrália,2333,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_PLrxAkS.png,2,-0.15,Jackson Alexander Irvine,0.0,4,1.96,2,irvine,6,-0.36,,,,,,1.0,,,,,,,,,,,,,
Quintero,Quintero,81786,Colômbia,2373,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_KMFSoaU.png,0,0.0,Juan Fernando Quintero Paniagua - Juanfer,0.0,4,6.0,2,quintero,6,0.0,,,,,,,,,,,,,,,,,,,
Godoy,Godoy,81824,Panamá,3062,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_BoReo54.png,0,0.0,Aníbal Casis Godoy Lemus,0.0,4,3.0,2,godoy,6,0.0,,,,,,,,,,,,,,,,,,,
Quintero,Quintero,81829,Panamá,3062,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/28/photo_FORMATO_KPDNEdM.png,0,0.0,Alberto Abdiel Quintero Medina,0.0,4,3.0,2,quintero,6,0.0,,,,,,,,,,,,,,,,,,,
Laporte,Laporte,81947,Espanha,2326,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/25/photo_FORMATO_olXMQ24.png,2,10.6,Aymeric Jean Louis Gérard Alphonse Laporte - Fevre,12.7,3,10.39,2,laporte,7,1.8,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,,2.0,
João Cancelo,J. Cancelo,81958,Portugal,2390,0.7056479949,True,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_PovWDAh.png,2,8.0,João Pedro Cavaco Cancelo,11.7,2,10.34,2,joao-cancelo,7,1.59,1.0,,,,4.0,3.0,,,2.0,,,,,1.0,,,,1.0,
Kim Seung-Gyu,K. Seung-Gyu,82002,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_VIajTXR.png,1,1.6,Kim Seung-Gyu,0.0,1,3.78,2,kim-seung-gyu,7,0.0,,,,2.0,,,,,,,,,1.0,,,,,,
Lee Jae-Sung,L. Jae-Sung,82005,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/19/photo_FORMATO_sTilRCR.png,1,3.4,Jae-Song Lee,0.0,4,6.02,2,lee-jae-sung,7,0.0,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,
Rabia,Rabia,82033,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_5eEzg6a.png,2,2.7,Ramy Hisham Abdelaziz Moustafa Rabiaa - Rami,3.9,3,4.15,2,rabia,7,0.4,,,,,4.0,2.0,,,,,,,,,,,,,
Trézéguet,Trézéguet,82039,Egito,2324,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/22/photo_FORMATO_XFVoaG9.png,1,9.2,Mahmoud Ahmed Ibrahim Hassan,9.2,4,8.86,2,trezeguet,6,1.86,,,,,1.0,1.0,,,,,1.0,,,,,,,,
Hajime Moriyasu,H. Moriyasu,82042,Japão,2369,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_m4fn8Pn.png,2,7.81,Hajime Moriyasu,11.02,6,6.85,2,hajime-moriyasu,7,2.03,,,,,,,,,,,,,,,,,,,1.0
Son Heung-Min,S. Heung-Min,82060,Coreia do Sul,2374,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_m0bbRir.png,1,4.5,Heung-min Son,0.0,5,12.86,2,son-heung-min,7,0.0,,,,,,,1.0,3.0,2.0,,,,,1.0,,,,,
Pickford,Pickford,82062,Inglaterra,2370,0.7403190286,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_RxYYE8O.png,2,4.2,Jordan Lee Pickford,6.0,1,8.34,2,pickford,7,0.24,,,,3.0,,,,,3.0,,,,2.0,,,,,1.0,
Harry Kane,H. Kane,82232,Inglaterra,2370,0.9981171548,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/17/photo_FORMATO_rOFqAI8.png,2,12.45,Harry Edward Kane,3.5,5,23.77,2,harry-kane,7,-3.82,,,,,1.0,3.0,3.0,4.0,3.0,,2.0,,,,,,,,
Roberto Martínez,R. Martínez,82257,Portugal,2390,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO.png,2,7.17,Roberto Martínez Montoliú,11.25,6,9.21,2,roberto-martinez,7,1.68,,,,,,,,,,,,,,,,,,,1.0
Steve Clarke,S. Clarke,82275,Escócia,2327,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_BB3LDkz.png,2,4.82,Stephen Clarke,3.08,6,5.32,2,steve-clarke,7,-0.18,,,,,,,,,,,,,,,,,,,1.0
Aké,Aké,82295,Holanda,2381,0.8039283428,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO.png,1,0.0,Nathan Benjamin Aké,0.0,2,5.65,2,ake,6,0.0,,,,,,,,,,,,,,,,,,,
Alisson,Alisson,82896,Brasil,2318,0.7995029073,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_9e4KFgA.png,2,5.9,Álisson Ramsés Becker,8.9,1,10.59,2,alisson,7,0.7,,,,6.0,,,,,,,,,1.0,,,,,1.0,
Kolasinac,Kolasinac,83119,Bósnia,2865,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/11/photo_FORMATO_i4jLOM3.png,1,6.6,Sead Kolašinac,0.0,2,8.74,2,kolasinac,7,0.0,1.0,,,,1.0,3.0,,,2.0,,,,,,,,,,
Samba,Samba,83259,França,2385,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/14/photo_FORMATO_nklnhCk.png,0,0.0,Brice Lauriche Samba,0.0,1,6.0,2,samba,6,0.0,,,,,,,,,,,,,,,,,,,
Léo Pereira,L. Pereira,83528,Brasil,2318,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_7x9u3rR.png,0,0.0,Leonardo Pereira,0.0,3,5.0,2,leo-pereira,6,0.0,,,,,,,,,,,,,,,,,,,
Murat Yakin,M. Yakin,84061,Suíça,2320,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_Et9h3PX.png,1,3.22,Murat Yakın,0.0,6,5.15,2,murat-yakin,7,0.0,,,,,,,,,,,,,,,,,,,
