atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,DS,FS,FC,FF,FD,G,CA,SG,DE,GS,A,I,V,FT,GC,CV,PP,PS,PC,clube_nome
82896,Alisson,1,2318,8.9,True,,,,,,,,1.0,3.0,,,,,,,,,,,Brasil
84061,Murat Yakin,6,2320,0.0,False,,,,,,,,,,,,,,,,,,,,Suíça
84774,Rüdiger,3,2384,0.8,True,,,,1.0,,,,,,,,,,,,,,,,Alemanha
84783,Khedira,4,2337,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Tunísia
84808,Rudi Garcia,6,2392,5.65,True,,,,,,,,,,,,,,,,,,,,Bélgica
84816,Varela,2,2356,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Uruguai
84989,Digne,2,2385,4.7,True,,,1.0,,,,,1.0,,,,,,,,,,,,França
84990,Maignan,1,2385,5.0,True,,,,,,,,1.0,,,,,,,,,,,,França
85044,Locadia,5,3221,0.0,True,,1.0,1.0,,,,,,,,,2.0,,,,,,,,Curaçao
85048,Memphis,5,2381,6.0,True,,2.0,,,,,,,,,1.0,,,,,,,,,Holanda
85050,Brenet,2,3221,9.5,True,3.0,,,,,,,1.0,,,,,,,,,,,,Curaçao
85084,De Bruyne,4,2392,3.8,True,1.0,3.0,,1.0,,,,,,,,,,,,,,,,Bélgica
85181,Van Dijk,3,2381,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Holanda
85889,Nordfeldt,1,2368,-3.7,True,,,,,,,,,1.0,5.0,,,,,,,,,,Suécia
85914,Hossam Hassan,6,2324,9.43,True,,,,,,,,,,,,,1.0,,,,,,,Egito
86008,Placide,1,2334,-0.4,True,,,,,,,,,2.0,3.0,,,,,,,,,,Haiti
86013,Mandi,3,2338,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Argélia
86213,Tah,3,2384,0.5,True,,1.0,,,,,,,,,,,,,,,,,,Alemanha
86214,Calhanoglu,4,2328,7.3,True,4.0,,1.0,2.0,,,,,,,,,,,,,,,,Turquia
86256,Gana Gueye,4,2347,5.8,True,3.0,1.0,,1.0,,,,,,,,,,,,,,,,Senegal
86260,Ryan Mendes,5,3201,0.0,True,,,,,,,,,,,,,,,,,,,,Cabo Verde
86849,Bruno Fernandes,4,2390,11.7,True,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,Portugal
87094,Bentaleb,4,2338,1.5,True,,3.0,,,,,,,,,,,,,,,,,,Argélia
87722,Garry Rodrigues,5,3201,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Cabo Verde
87771,Goretzka,4,2384,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Alemanha
88045,Leandro Bacuna,4,3221,0.4,True,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,Curaçao
88108,Thomas Tuchel,6,2370,5.96,True,,,,,,,,,,,,,,,,,,,,Inglaterra
88312,Junior Alonso,3,2354,7.4,True,1.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,Paraguai
88320,Almirón,4,2354,-2.8,True,,1.0,1.0,,,,,,,,,,,,,1.0,,,,Paraguai
88473,Hervé Renard,6,2337,4.22,True,,,,,,,,,,,,,,,,,,,,Tunísia
88559,Steven Moreira,2,3201,3.0,True,2.0,,,,,,,,,,,,,,,,,,,Cabo Verde
88735,Leckie,4,2333,1.0,True,,1.0,1.0,1.0,,,,,,,,,,,,,,,,Austrália
88745,Mahrez,5,2338,8.7,True,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,Argélia
88775,Jahanbakhsh,4,2336,1.7,True,1.0,,2.0,1.0,,,,,,,,,,,,,,,,Irã
88878,Velázquez,2,2354,5.0,True,,,,,,,,1.0,,,,,,,,,,,,Paraguai
88931,Koulibaly,3,2347,0.0,True,,,,,,,,,,,,,,,,,,,,Senegal
89016,Ronald Koeman,6,2381,9.81,True,,,,,,,,,,,,,1.0,,,,,,,Holanda
89019,Dibu Martínez,1,2357,6.3,True,,,,,,,,1.0,1.0,,,,,,,,,,,Argentina
89086,Julen Lopetegui,6,3238,0.0,False,,,,,,,,,,,,,,,,,,,,Catar
89152,Reece James,2,2370,5.0,True,,,,,,,,1.0,,,,,,,,,,,,Inglaterra
89161,Sané,4,2384,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Alemanha
89189,Mané,5,2347,10.8,True,4.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,Senegal
89195,Robertson,2,2327,0.2,True,1.0,,1.0,,,,1.0,,,,,,,,,,,,,Escócia
89236,Nyland,1,2323,0.6,True,,,,,,,,,2.0,2.0,,,,,,,,,,Noruega
89296,Georgios Donis,6,2344,2.44,True,,,,,,,,,,,,,,,,,,,,Arábia Saudita
89432,Bernardo Silva,4,2390,0.0,True,,,,,,,,,,,,,,,,,,,,Portugal
89766,Sabitzer,4,2391,4.0,True,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,Áustria
89843,Cubas,4,2354,2.0,True,2.0,1.0,5.0,,,,,,,,,,,,,,,,,Paraguai
89889,Amiri,4,2384,6.2,True,,,,,1.0,,,,,,1.0,,,,,,,,,Alemanha
89912,De Paul,4,2357,3.0,True,2.0,,,,,,,,,,,,,,,,,,,Argentina
89973,Ödegaard,4,2323,10.5,True,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,Noruega
90043,Skhiri,4,2337,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Tunísia
90375,Diaw,1,2347,0.5,True,,1.0,,,,,,,,,,,,,,,,,,Senegal
90922,Iñaki Williams,5,2375,-1.7,True,,,2.0,,,,1.0,,,,,1.0,,,,,,,,Gana
91886,Bentancur,4,2356,2.4,True,2.0,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,,Uruguai
92235,Kimmich,2,2384,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Alemanha
92255,Baba,2,2375,5.0,True,,,,,,,,1.0,,,,,,,,,,,,Gana
92289,Gregoritsch,5,2391,1.3,True,,1.0,,1.0,,,,,,,,,,,,,,,,Áustria
92343,Meunier,2,2392,4.7,True,,,1.0,,,,,1.0,,,,,,,,,,,,Bélgica
92347,Mechele,3,2392,5.5,True,,,1.0,1.0,,,,1.0,,,,,,,,,,,,Bélgica
92351,Vanaken,4,2392,1.6,True,,,,2.0,,,,,,,,,,,,,,,,Bélgica
92399,Bensebaini,3,2338,9.7,True,6.0,2.0,1.0,,,,,,,,,,,,,,,,,Argélia
92458,Antonee Robinson,2,2365,7.0,True,2.0,,,,,,1.0,1.0,,,,,,,,,,,,Estados Unidos
92510,Fabián Ruiz,4,2326,0.0,True,,,,,,,,,,,,,,,,,,,,Espanha
92544,Ream,3,2365,8.5,True,2.0,1.0,,,,,,1.0,,,,,,,,,,,,Estados Unidos
92755,Canale,3,2354,6.2,True,1.0,,1.0,,,,,1.0,,,,,,,,,,,,Paraguai
92881,Semedo,2,2390,5.0,True,,,,,,,,1.0,,,,,,,,,,,,Portugal
93003,Seko Fofana,4,2350,3.0,True,2.0,,,,,,,,,,,,,,,,,,,Costa do Marfim
93279,Rashford,5,2370,-0.6,True,,,2.0,,,,,,,,,,,,,,,,,Inglaterra
93283,Raphinha,5,2318,2.2,True,1.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,Brasil
93289,Lindelöf,3,2368,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Suécia
93327,Arcus,2,2334,0.2,True,1.0,1.0,2.0,,,,1.0,,,,,2.0,,,,,,,,Haiti
93334,Oyarzabal,5,2326,25.7,True,,,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,,,,,Espanha
93923,Diop,3,2332,3.7,True,,,1.0,,,,1.0,1.0,,,,,,,,,,,,Marrocos
94073,Mathías Olivera,2,2356,1.7,True,2.0,,1.0,,,,1.0,,,,,,,,,,,,,Uruguai
94103,Gabriel Magalhães,3,2318,6.0,True,,2.0,,,,,,1.0,,,,,,,,,,,,Brasil
94868,Estupiñán,2,2372,5.9,True,1.0,,2.0,,,,,1.0,,,,,,,,,,,,Equador
94900,Gorré,5,3221,0.0,True,,,,,,,,,,,,,,,,,,,,Curaçao
94930,Lucas Paquetá,4,2318,9.2,True,3.0,,1.0,,,,,,,,1.0,,,,,,,,,Brasil
94965,Rúben Dias,3,2390,5.2,True,,1.0,1.0,,,,,1.0,,,,,,,,,,,,Portugal
95063,Mbappé,5,2385,22.0,True,1.0,1.0,1.0,4.0,1.0,2.0,,,,,,1.0,,,,,,,,França
95138,Molina,2,2357,7.7,True,2.0,,1.0,,,,,1.0,,,,,,,,,,,,Argentina
95282,Lautaro Martínez,5,2357,2.4,True,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,Argentina
95456,Rodri,4,2326,4.2,True,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,Espanha
95534,Dembélé,5,2385,17.3,True,1.0,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,França
96333,Tomiyasu,2,2369,8.3,True,2.0,,3.0,,1.0,,,1.0,,,,,,,,,,,,Japão
96352,Zidane,1,2338,2.9,True,,,,,,,,,3.0,1.0,,,,,,,,,,Argélia
96364,Gunn,1,2327,1.6,True,,,,,,,,,2.0,1.0,,,,,,,,,,Escócia
96380,Rice,4,2370,1.1,True,,,1.0,3.0,,,1.0,,,,,,,,,,,,,Inglaterra
96566,Tierney,2,2327,4.4,True,3.0,1.0,2.0,,,,,,,,,,,,,,,,,Escócia
96568,Ajer,3,2323,1.2,True,,,,,1.0,,,,,,,,,,,,,,,Noruega
96569,Christie,4,2327,5.3,True,3.0,,,1.0,,,,,,,,,,,,,,,,Escócia
96585,Ezatolahi,4,2336,7.9,True,5.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,Irã
96670,Sangaré,4,2350,6.0,True,4.0,,,,,,,,,,,,,,,,,,,Costa do Marfim
96672,Lukébakio,5,2392,2.5,True,,1.0,,1.0,1.0,,,,,,,,,,,,,,,Bélgica
96681,Tagliafico,2,2357,7.0,True,1.0,1.0,,,,,,1.0,,,,,,,,,,,,Argentina
96724,Cuti Romero,3,2357,6.2,True,1.0,,1.0,,,,,1.0,,,,,,,,,,,,Argentina
96822,Dani Olmo,4,2326,7.0,True,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,Espanha
96829,Ralston,2,2327,-0.3,True,,,1.0,,,,,,,,,,,,,,,,,Escócia
96838,Merino,4,2326,0.0,True,,,,,,,,,,,,,,,,,,,,Espanha
97089,Alderete,3,2354,6.7,True,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,Paraguai
97128,Kessié,4,2350,7.6,True,,,1.0,,,1.0,,,,,,1.0,,,,,,,,Costa do Marfim
97214,Julian Nagelsmann,6,2384,6.9,True,,,,,,,,,,,,,1.0,,,,,,,Alemanha
97246,Tielemans,4,2392,5.1,True,2.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,Bélgica
97270,McGinn,4,2327,1.2,True,,2.0,2.0,1.0,,,,,,,,,,,,,,,,Escócia
97348,Havertz,5,2384,2.8,True,,,,2.0,1.0,,,,,,,,,,,,,,,Alemanha
97613,Medina,3,2357,10.7,True,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,Argentina
97656,Unai Simón,1,2326,6.3,True,,,,,,,,1.0,1.0,,,,,,,,,,,Espanha
97698,Isak,5,2368,6.6,True,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,Suécia
98019,Hakimi,2,2332,7.3,True,,3.0,,1.0,,,,1.0,,,,,,,,,,,,Marrocos
98138,Friedl,3,2391,0.0,True,,,,,,,,,,,,,,,,,,,,Áustria
98352,Bruno Guimarães,4,2318,5.2,True,3.0,2.0,1.0,,,,,,,,,,,,,,,,,Brasil
99134,Danso,3,2391,-0.3,True,,,1.0,,,,,,,,,,,,,,,,,Áustria
99228,De la Cruz,4,2356,2.8,True,1.0,1.0,,1.0,,,,,,,,,,,,,,,,Uruguai
99277,Sebastián Beccacece,6,2372,7.14,True,,,,,,,,,,,,,,,,,,,,Equador
99282,Jordy Caicedo,5,2372,0.0,True,,,,,,,,,,,,,,,,,,,,Equador
99325,Delcroix,3,2334,6.5,True,4.0,1.0,,,,,,,,,,,,,,,,,,Haiti
99331,Pépé,5,2350,0.0,True,,,,,,,,,,,,,,,,,,,,Costa do Marfim
99405,Ismaïla Sarr,5,2347,20.7,True,2.0,2.0,,1.0,,2.0,,,,,,1.0,,,,,,,,Senegal
99481,McTominay,4,2327,0.5,True,,,1.0,1.0,,,,,,,,,,,,,,,,Escócia
99515,De Jong,4,2381,3.5,True,2.0,1.0,,,,,,,,,,,,,,,,,,Holanda
99535,Vini Jr.,5,2318,15.3,True,,1.0,,1.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,Brasil
99705,Hugo Broos,6,2358,0.0,False,,,,,,,,,,,,,,,,,,,,África do Sul
99712,Boxall,3,2340,2.2,True,1.0,2.0,1.0,,,,,,,,,,,,,,,,,Nova Zelândia
99715,Ryan Thomas,4,2340,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,Nova Zelândia
99748,Galíndez,1,2372,8.9,True,,,,,,,,1.0,3.0,,,,,,,,,,,Equador
99851,Pedro Neto,5,2390,0.2,True,,1.0,1.0,,,,,,,,,,,,,,,,,Portugal
99857,Valverde,4,2356,7.0,True,2.0,,,5.0,,,,,,,,,,,,,,,,Uruguai
99977,Thuram,5,2385,0.0,True,,,,,,,,,,,,,,,,,,,,França
99997,Posch,2,2391,-2.0,True,,,,,,,1.0,,,,,,,,,,,,1.0,Áustria
100038,Niakhaté,3,2347,3.5,True,1.0,4.0,,,,,,,,,,,,,,,,,,Senegal
100140,Berge,4,2323,4.2,True,3.0,,1.0,,,,,,,,,,,,,,,,,Noruega
100316,McKennie,4,2365,1.6,True,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,Estados Unidos
100320,Gouiri,5,2338,11.5,True,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,Argélia
100414,Souttar,3,2333,0.1,True,1.0,1.0,3.0,,,,1.0,,,,,,,,,,,,,Austrália
100539,Zlatko Dalic,6,2379,0.0,False,,,,,,,,,,,,,,,,,,,,Croácia
100627,Upamecano,3,2385,7.7,True,2.0,,1.0,,,,,1.0,,,,,,,,,,,,França
100629,Laimer,2,2391,1.7,True,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,Áustria
100689,Crocombe,1,2340,2.2,True,,,,,,,,,4.0,3.0,,,,,,,,,,Nova Zelândia
100692,Al-Owais,1,2344,2.5,True,,,,,,,,,5.0,4.0,,,,,,,,,,Arábia Saudita
100745,Brahim Díaz,4,2332,5.7,True,,2.0,1.0,,,,,,,,1.0,,,,,,,,,Marrocos
100815,Nuno da Costa,5,3201,0.5,True,,1.0,,,,,,,,,,,,,,,,,,Cabo Verde
100836,McCowatt,4,2340,0.8,True,,,2.0,,2.0,,1.0,,,,,,,,,,,,,Nova Zelândia
101096,Room,1,3221,24.5,True,,,,,,,,1.0,15.0,,,,,,,,,,,Curaçao
101124,O'Neill,4,2333,5.0,True,2.0,4.0,,,,,,,,,,,,,,,,,,Austrália
101382,Gakpo,5,2381,22.3,True,,1.0,1.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,,Holanda
101384,Obispo,3,3221,9.5,True,3.0,,,,,,,1.0,,,,,,,,,,,,Curaçao
101385,Malen,5,2381,0.0,True,,,,,,,,,,,,,,,,,,,,Holanda
101843,Ferran Torres,5,2326,3.1,True,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,Espanha
101851,Gabriel Martinelli,5,2318,1.0,True,,2.0,,,,,,,,,,,,,,,,,,Brasil
101932,Graham Potter,6,2368,3.25,True,,,,,,,,,,,,,,,,,,,,Suécia
101937,Ghoddos,4,2336,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Irã
102387,Til,4,2381,0.0,True,,,,,,,,,,,,,,,,,,,,Holanda
102422,Bronn,3,2337,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Tunísia
102611,Salem Al-Dawsari,5,2344,1.9,True,1.0,3.0,,,,,1.0,,,,,1.0,,,,,,,,Arábia Saudita
102697,Kamada,4,2369,10.0,True,1.0,1.0,,,,1.0,,,,,,,,,,,,,,Japão
102739,Adé,3,2334,1.6,True,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,Haiti
102742,Etienne Jr.,5,2334,0.0,True,,,,,,,,,,,,,,,,,,,,Haiti
102754,Xaver Schlager,4,2391,0.6,True,1.0,,3.0,,,,,,,,,,,,,,,,,Áustria
102770,Taremi,5,2336,4.4,True,2.0,2.0,2.0,,1.0,,,,,,,2.0,,,,,,,,Irã
102773,Torabi,4,2336,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Irã
102775,Rezaeian,2,2336,6.5,True,1.0,,,,,,,1.0,,,,,,,,,,,,Irã
102777,Mohammadi,2,2336,4.9,True,,,,,,,,1.0,,,,1.0,,,,,,,,Irã
102784,Beiranvand,1,2336,13.3,True,,1.0,,,,,,1.0,6.0,,,,,,,,,,,Irã
102822,Ganiev,4,3061,0.2,True,,1.0,1.0,,,,,,,,,,,,,,,,,Uzbequistão
102832,Ashurmatov,3,3061,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Uzbequistão
102838,Kanno,4,2344,-1.3,True,,,1.0,,,,1.0,,,,,,,,,,,,,Arábia Saudita
102842,Al-Khaibari,4,2344,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Arábia Saudita
102866,Adams,4,2365,6.7,True,4.0,2.0,1.0,,,,,,,,,,,,,,,,,Estados Unidos
102928,Canobbio,5,2356,15.1,True,5.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,Uruguai
102931,Brian Rodríguez,5,2356,0.8,True,,,,1.0,,,,,,,,,,,,,,,,Uruguai
102935,Darwin Núñez,5,2356,0.0,True,,,,,,,,,,,,,,,,,,,,Uruguai
102938,Alcívar,4,2372,-1.3,True,,,1.0,,,,1.0,,,,,,,,,,,,,Equador
103005,Isidor,5,2334,1.7,True,,1.0,,,1.0,,,,,,,,,,,,,,,Haiti
103059,Juninho Bacuna,4,3221,4.2,True,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,Curaçao
103067,Cucurella,2,2326,8.6,True,2.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,Espanha
103099,Éderson,4,2318,0.5,True,,,1.0,1.0,,,,,,,,,,,,,,,,Brasil
103110,Gyökeres,5,2368,3.4,True,,1.0,2.0,,3.0,,,,,,,1.0,,,,,,,,Suécia
103149,Aït-Nouri,2,2338,4.2,True,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,Argélia
103184,Pedro Porro,2,2326,8.2,True,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,Espanha
103269,Lionel Scaloni,6,2357,8.34,True,,,,,,,,,,,,,1.0,,,,,,,Argentina
103340,Saliba,3,2385,10.3,True,3.0,,,1.0,,,,1.0,,,,,,,,,,,,França
103351,Dumfries,2,2381,11.4,True,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,Holanda
103419,Konan,2,2350,1.5,True,1.0,,,,,,,,,,,,,,,,,,,Costa do Marfim
103423,Édouard Mendy,1,2347,0.9,True,,,,,,,,,3.0,3.0,,,,,,,,,,Senegal
103453,Sibo,4,2375,-1.2,True,,,4.0,,,,,,,,,,,,,,,,,Gana
103542,Sulaka,3,2342,2.3,True,1.0,,,1.0,,,,,,,,,,,,,,,,Iraque
103561,Castagne,2,2392,5.0,True,,,,,,,,1.0,,,,,,,,,,,,Bélgica
103629,Chong,4,3221,1.2,True,,3.0,1.0,,,,,,,,,,,,,,,,,Curaçao
103648,Rafael Leão,5,2390,8.2,True,,1.0,1.0,,,1.0,,,,,,,,,,,,,,Portugal
103687,Julián Álvarez,5,2357,1.2,True,,,,,1.0,,,,,,,,,,,,,,,Argentina
103759,Koundé,2,2385,5.5,True,,1.0,,,,,,1.0,,,,,,,,,,,,França
103775,Valery,2,2337,2.7,True,2.0,,1.0,,,,,,,,,,,,,,,,,Tunísia
103898,Nmecha,4,2384,16.5,True,7.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,Alemanha
103976,Saka,5,2370,3.4,True,,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,Inglaterra
104038,Mazraoui,2,2332,7.2,True,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,Marrocos
104042,Gravenberch,4,2381,6.7,True,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,Holanda
104208,Lang,5,2381,0.5,True,,1.0,,,,,,,,,,,,,,,,,,Holanda
104776,Lisandro Martínez,3,2357,4.7,True,,,1.0,,,,,1.0,,,,,,,,,,,,Argentina
104781,Cáceres,3,2356,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Uruguai
104813,Demiral,3,2328,4.4,True,,,1.0,3.0,2.0,,,,,,,1.0,,,,,,,,Turquia
104967,Wright,5,2365,-0.1,True,,,,,,,,,,,,1.0,,,,,,,,Estados Unidos
105267,Trossard,5,2392,1.6,True,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,Bélgica
105288,João Félix,5,2390,8.3,True,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,Portugal
105605,Matheus Cunha,5,2318,17.9,True,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,,,Brasil
105728,Ueda,5,2369,24.0,True,,1.0,1.0,2.0,1.0,2.0,,,,,1.0,,,,,,,,,Japão
105736,Itakura,3,2369,11.2,True,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,Japão
105919,Singh,4,2340,0.5,True,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,Nova Zelândia
105952,Mac Allister,4,2357,1.4,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,,Argentina
105969,Maxi Araújo,4,2356,16.8,True,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,,,,,,Uruguai
105996,Sanabria,4,2356,0.0,True,,,,,,,,,,,,,,,,,,,,Uruguai
106011,Enciso,4,2354,7.8,True,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,Paraguai
106019,Jesse Marsch,6,2361,0.0,False,,,,,,,,,,,,,,,,,,,,Canadá
106029,Mensah,2,2375,6.4,True,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,Gana
